"","--dataset","--n_obs","--dim_in","--rep","--path"
"89","linear",500,50,1,"cat"
"90","rbf",500,50,1,"cat"
"91","matern32",500,50,1,"cat"
"92","complex",500,50,1,"cat"
"93","linear",1000,50,1,"cat"
"94","rbf",1000,50,1,"cat"
"95","matern32",1000,50,1,"cat"
"96","complex",1000,50,1,"cat"
"97","linear",100,100,1,"cat"
"98","rbf",100,100,1,"cat"
"99","matern32",100,100,1,"cat"
"100","complex",100,100,1,"cat"
"101","linear",200,100,1,"cat"
"102","rbf",200,100,1,"cat"
"103","matern32",200,100,1,"cat"
"104","complex",200,100,1,"cat"
"105","linear",500,100,1,"cat"
"106","rbf",500,100,1,"cat"
"107","matern32",500,100,1,"cat"
"108","complex",500,100,1,"cat"
"109","linear",1000,100,1,"cat"
"110","rbf",1000,100,1,"cat"
"111","matern32",1000,100,1,"cat"
"112","complex",1000,100,1,"cat"
"113","linear",100,200,1,"cat"
"114","rbf",100,200,1,"cat"
"115","matern32",100,200,1,"cat"
"116","complex",100,200,1,"cat"
"117","linear",200,200,1,"cat"
"118","rbf",200,200,1,"cat"
"119","matern32",200,200,1,"cat"
"120","complex",200,200,1,"cat"
"121","linear",500,200,1,"cat"
"122","rbf",500,200,1,"cat"
"123","matern32",500,200,1,"cat"
"124","complex",500,200,1,"cat"
"125","linear",1000,200,1,"cat"
"126","rbf",1000,200,1,"cat"
"127","matern32",1000,200,1,"cat"
"128","complex",1000,200,1,"cat"
"129","linear",100,25,2,"cat"
"130","rbf",100,25,2,"cat"
"131","matern32",100,25,2,"cat"
"132","complex",100,25,2,"cat"
"133","linear",200,25,2,"cat"
"134","rbf",200,25,2,"cat"
"135","matern32",200,25,2,"cat"
"136","complex",200,25,2,"cat"
"137","linear",500,25,2,"cat"
"138","rbf",500,25,2,"cat"
"139","matern32",500,25,2,"cat"
"140","complex",500,25,2,"cat"
"141","linear",1000,25,2,"cat"
"142","rbf",1000,25,2,"cat"
"143","matern32",1000,25,2,"cat"
"144","complex",1000,25,2,"cat"
"145","linear",100,50,2,"cat"
"146","rbf",100,50,2,"cat"
"147","matern32",100,50,2,"cat"
"148","complex",100,50,2,"cat"
"149","linear",200,50,2,"cat"
"150","rbf",200,50,2,"cat"
"151","matern32",200,50,2,"cat"
"152","complex",200,50,2,"cat"
"153","linear",500,50,2,"cat"
"154","rbf",500,50,2,"cat"
"155","matern32",500,50,2,"cat"
"156","complex",500,50,2,"cat"
"157","linear",1000,50,2,"cat"
"158","rbf",1000,50,2,"cat"
"159","matern32",1000,50,2,"cat"
"160","complex",1000,50,2,"cat"
"161","linear",100,100,2,"cat"
"162","rbf",100,100,2,"cat"
"163","matern32",100,100,2,"cat"
"164","complex",100,100,2,"cat"
"165","linear",200,100,2,"cat"
"166","rbf",200,100,2,"cat"
"167","matern32",200,100,2,"cat"
"168","complex",200,100,2,"cat"
"169","linear",500,100,2,"cat"
"170","rbf",500,100,2,"cat"
"171","matern32",500,100,2,"cat"
"172","complex",500,100,2,"cat"
"173","linear",1000,100,2,"cat"
"174","rbf",1000,100,2,"cat"
"175","matern32",1000,100,2,"cat"
"176","complex",1000,100,2,"cat"
"177","linear",100,200,2,"cat"
"178","rbf",100,200,2,"cat"
"179","matern32",100,200,2,"cat"
"180","complex",100,200,2,"cat"
"181","linear",200,200,2,"cat"
"182","rbf",200,200,2,"cat"
"183","matern32",200,200,2,"cat"
"184","complex",200,200,2,"cat"
"185","linear",500,200,2,"cat"
"186","rbf",500,200,2,"cat"
"187","matern32",500,200,2,"cat"
"188","complex",500,200,2,"cat"
"189","linear",1000,200,2,"cat"
"190","rbf",1000,200,2,"cat"
"191","matern32",1000,200,2,"cat"
"192","complex",1000,200,2,"cat"
"193","linear",100,25,3,"cat"
"194","rbf",100,25,3,"cat"
"195","matern32",100,25,3,"cat"
"196","complex",100,25,3,"cat"
"197","linear",200,25,3,"cat"
"198","rbf",200,25,3,"cat"
"199","matern32",200,25,3,"cat"
"200","complex",200,25,3,"cat"
"201","linear",500,25,3,"cat"
"202","rbf",500,25,3,"cat"
"203","matern32",500,25,3,"cat"
"204","complex",500,25,3,"cat"
"205","linear",1000,25,3,"cat"
"206","rbf",1000,25,3,"cat"
"207","matern32",1000,25,3,"cat"
"208","complex",1000,25,3,"cat"
"209","linear",100,50,3,"cat"
"210","rbf",100,50,3,"cat"
"211","matern32",100,50,3,"cat"
"212","complex",100,50,3,"cat"
"213","linear",200,50,3,"cat"
"214","rbf",200,50,3,"cat"
"215","matern32",200,50,3,"cat"
"216","complex",200,50,3,"cat"
"217","linear",500,50,3,"cat"
"218","rbf",500,50,3,"cat"
"219","matern32",500,50,3,"cat"
"220","complex",500,50,3,"cat"
"221","linear",1000,50,3,"cat"
"222","rbf",1000,50,3,"cat"
"223","matern32",1000,50,3,"cat"
"224","complex",1000,50,3,"cat"
"225","linear",100,100,3,"cat"
"226","rbf",100,100,3,"cat"
"227","matern32",100,100,3,"cat"
"228","complex",100,100,3,"cat"
"229","linear",200,100,3,"cat"
"230","rbf",200,100,3,"cat"
"231","matern32",200,100,3,"cat"
"232","complex",200,100,3,"cat"
"233","linear",500,100,3,"cat"
"234","rbf",500,100,3,"cat"
"235","matern32",500,100,3,"cat"
"236","complex",500,100,3,"cat"
"237","linear",1000,100,3,"cat"
"238","rbf",1000,100,3,"cat"
"239","matern32",1000,100,3,"cat"
"240","complex",1000,100,3,"cat"
"241","linear",100,200,3,"cat"
"242","rbf",100,200,3,"cat"
"243","matern32",100,200,3,"cat"
"244","complex",100,200,3,"cat"
"245","linear",200,200,3,"cat"
"246","rbf",200,200,3,"cat"
"247","matern32",200,200,3,"cat"
"248","complex",200,200,3,"cat"
"249","linear",500,200,3,"cat"
"250","rbf",500,200,3,"cat"
"251","matern32",500,200,3,"cat"
"252","complex",500,200,3,"cat"
"253","linear",1000,200,3,"cat"
"254","rbf",1000,200,3,"cat"
"255","matern32",1000,200,3,"cat"
"256","complex",1000,200,3,"cat"
"257","linear",100,25,4,"cat"
"258","rbf",100,25,4,"cat"
"259","matern32",100,25,4,"cat"
"260","complex",100,25,4,"cat"
"261","linear",200,25,4,"cat"
"262","rbf",200,25,4,"cat"
"263","matern32",200,25,4,"cat"
"264","complex",200,25,4,"cat"
"265","linear",500,25,4,"cat"
"266","rbf",500,25,4,"cat"
"267","matern32",500,25,4,"cat"
"268","complex",500,25,4,"cat"
"269","linear",1000,25,4,"cat"
"270","rbf",1000,25,4,"cat"
"271","matern32",1000,25,4,"cat"
"272","complex",1000,25,4,"cat"
"273","linear",100,50,4,"cat"
"274","rbf",100,50,4,"cat"
"275","matern32",100,50,4,"cat"
"276","complex",100,50,4,"cat"
"277","linear",200,50,4,"cat"
"278","rbf",200,50,4,"cat"
"279","matern32",200,50,4,"cat"
"280","complex",200,50,4,"cat"
"281","linear",500,50,4,"cat"
"282","rbf",500,50,4,"cat"
"283","matern32",500,50,4,"cat"
"284","complex",500,50,4,"cat"
"285","linear",1000,50,4,"cat"
"286","rbf",1000,50,4,"cat"
"287","matern32",1000,50,4,"cat"
"288","complex",1000,50,4,"cat"
"289","linear",100,100,4,"cat"
"290","rbf",100,100,4,"cat"
"291","matern32",100,100,4,"cat"
"292","complex",100,100,4,"cat"
"293","linear",200,100,4,"cat"
"294","rbf",200,100,4,"cat"
"295","matern32",200,100,4,"cat"
"296","complex",200,100,4,"cat"
"297","linear",500,100,4,"cat"
"298","rbf",500,100,4,"cat"
"299","matern32",500,100,4,"cat"
"300","complex",500,100,4,"cat"
"301","linear",1000,100,4,"cat"
"302","rbf",1000,100,4,"cat"
"303","matern32",1000,100,4,"cat"
"304","complex",1000,100,4,"cat"
"305","linear",100,200,4,"cat"
"306","rbf",100,200,4,"cat"
"307","matern32",100,200,4,"cat"
"308","complex",100,200,4,"cat"
"309","linear",200,200,4,"cat"
"310","rbf",200,200,4,"cat"
"311","matern32",200,200,4,"cat"
"312","complex",200,200,4,"cat"
"313","linear",500,200,4,"cat"
"314","rbf",500,200,4,"cat"
"315","matern32",500,200,4,"cat"
"316","complex",500,200,4,"cat"
"317","linear",1000,200,4,"cat"
"318","rbf",1000,200,4,"cat"
"319","matern32",1000,200,4,"cat"
"320","complex",1000,200,4,"cat"
"321","linear",100,25,5,"cat"
"322","rbf",100,25,5,"cat"
"323","matern32",100,25,5,"cat"
"324","complex",100,25,5,"cat"
"325","linear",200,25,5,"cat"
"326","rbf",200,25,5,"cat"
"327","matern32",200,25,5,"cat"
"328","complex",200,25,5,"cat"
"329","linear",500,25,5,"cat"
"330","rbf",500,25,5,"cat"
"331","matern32",500,25,5,"cat"
"332","complex",500,25,5,"cat"
"333","linear",1000,25,5,"cat"
"334","rbf",1000,25,5,"cat"
"335","matern32",1000,25,5,"cat"
"336","complex",1000,25,5,"cat"
"337","linear",100,50,5,"cat"
"338","rbf",100,50,5,"cat"
"339","matern32",100,50,5,"cat"
"340","complex",100,50,5,"cat"
"341","linear",200,50,5,"cat"
"342","rbf",200,50,5,"cat"
"343","matern32",200,50,5,"cat"
"344","complex",200,50,5,"cat"
"345","linear",500,50,5,"cat"
"346","rbf",500,50,5,"cat"
"347","matern32",500,50,5,"cat"
"348","complex",500,50,5,"cat"
"349","linear",1000,50,5,"cat"
"350","rbf",1000,50,5,"cat"
"351","matern32",1000,50,5,"cat"
"352","complex",1000,50,5,"cat"
"353","linear",100,100,5,"cat"
"354","rbf",100,100,5,"cat"
"355","matern32",100,100,5,"cat"
"356","complex",100,100,5,"cat"
"357","linear",200,100,5,"cat"
"358","rbf",200,100,5,"cat"
"359","matern32",200,100,5,"cat"
"360","complex",200,100,5,"cat"
"361","linear",500,100,5,"cat"
"362","rbf",500,100,5,"cat"
"363","matern32",500,100,5,"cat"
"364","complex",500,100,5,"cat"
"365","linear",1000,100,5,"cat"
"366","rbf",1000,100,5,"cat"
"367","matern32",1000,100,5,"cat"
"368","complex",1000,100,5,"cat"
"369","linear",100,200,5,"cat"
"370","rbf",100,200,5,"cat"
"371","matern32",100,200,5,"cat"
"372","complex",100,200,5,"cat"
"373","linear",200,200,5,"cat"
"374","rbf",200,200,5,"cat"
"375","matern32",200,200,5,"cat"
"376","complex",200,200,5,"cat"
"377","linear",500,200,5,"cat"
"378","rbf",500,200,5,"cat"
"379","matern32",500,200,5,"cat"
"380","complex",500,200,5,"cat"
"381","linear",1000,200,5,"cat"
"382","rbf",1000,200,5,"cat"
"383","matern32",1000,200,5,"cat"
"384","complex",1000,200,5,"cat"
"385","linear",100,25,6,"cat"
"386","rbf",100,25,6,"cat"
"387","matern32",100,25,6,"cat"
"388","complex",100,25,6,"cat"
"389","linear",200,25,6,"cat"
"390","rbf",200,25,6,"cat"
"391","matern32",200,25,6,"cat"
"392","complex",200,25,6,"cat"
"393","linear",500,25,6,"cat"
"394","rbf",500,25,6,"cat"
"395","matern32",500,25,6,"cat"
"396","complex",500,25,6,"cat"
"397","linear",1000,25,6,"cat"
"398","rbf",1000,25,6,"cat"
"399","matern32",1000,25,6,"cat"
"400","complex",1000,25,6,"cat"
"401","linear",100,50,6,"cat"
"402","rbf",100,50,6,"cat"
"403","matern32",100,50,6,"cat"
"404","complex",100,50,6,"cat"
"405","linear",200,50,6,"cat"
"406","rbf",200,50,6,"cat"
"407","matern32",200,50,6,"cat"
"408","complex",200,50,6,"cat"
"409","linear",500,50,6,"cat"
"410","rbf",500,50,6,"cat"
"411","matern32",500,50,6,"cat"
"412","complex",500,50,6,"cat"
"413","linear",1000,50,6,"cat"
"414","rbf",1000,50,6,"cat"
"415","matern32",1000,50,6,"cat"
"416","complex",1000,50,6,"cat"
"417","linear",100,100,6,"cat"
"418","rbf",100,100,6,"cat"
"419","matern32",100,100,6,"cat"
"420","complex",100,100,6,"cat"
"421","linear",200,100,6,"cat"
"422","rbf",200,100,6,"cat"
"423","matern32",200,100,6,"cat"
"424","complex",200,100,6,"cat"
"425","linear",500,100,6,"cat"
"426","rbf",500,100,6,"cat"
"427","matern32",500,100,6,"cat"
"428","complex",500,100,6,"cat"
"429","linear",1000,100,6,"cat"
"430","rbf",1000,100,6,"cat"
"431","matern32",1000,100,6,"cat"
"432","complex",1000,100,6,"cat"
"433","linear",100,200,6,"cat"
"434","rbf",100,200,6,"cat"
"435","matern32",100,200,6,"cat"
"436","complex",100,200,6,"cat"
"437","linear",200,200,6,"cat"
"438","rbf",200,200,6,"cat"
"439","matern32",200,200,6,"cat"
"440","complex",200,200,6,"cat"
"441","linear",500,200,6,"cat"
"442","rbf",500,200,6,"cat"
"443","matern32",500,200,6,"cat"
"444","complex",500,200,6,"cat"
"445","linear",1000,200,6,"cat"
"446","rbf",1000,200,6,"cat"
"447","matern32",1000,200,6,"cat"
"448","complex",1000,200,6,"cat"
"449","linear",100,25,7,"cat"
"450","rbf",100,25,7,"cat"
"451","matern32",100,25,7,"cat"
"452","complex",100,25,7,"cat"
"453","linear",200,25,7,"cat"
"454","rbf",200,25,7,"cat"
"455","matern32",200,25,7,"cat"
"456","complex",200,25,7,"cat"
"457","linear",500,25,7,"cat"
"458","rbf",500,25,7,"cat"
"459","matern32",500,25,7,"cat"
"460","complex",500,25,7,"cat"
"461","linear",1000,25,7,"cat"
"462","rbf",1000,25,7,"cat"
"463","matern32",1000,25,7,"cat"
"464","complex",1000,25,7,"cat"
"465","linear",100,50,7,"cat"
"466","rbf",100,50,7,"cat"
"467","matern32",100,50,7,"cat"
"468","complex",100,50,7,"cat"
"469","linear",200,50,7,"cat"
"470","rbf",200,50,7,"cat"
"471","matern32",200,50,7,"cat"
"472","complex",200,50,7,"cat"
"473","linear",500,50,7,"cat"
"474","rbf",500,50,7,"cat"
"475","matern32",500,50,7,"cat"
"476","complex",500,50,7,"cat"
"477","linear",1000,50,7,"cat"
"478","rbf",1000,50,7,"cat"
"479","matern32",1000,50,7,"cat"
"480","complex",1000,50,7,"cat"
"481","linear",100,100,7,"cat"
"482","rbf",100,100,7,"cat"
"483","matern32",100,100,7,"cat"
"484","complex",100,100,7,"cat"
"485","linear",200,100,7,"cat"
"486","rbf",200,100,7,"cat"
"487","matern32",200,100,7,"cat"
"488","complex",200,100,7,"cat"
"489","linear",500,100,7,"cat"
"490","rbf",500,100,7,"cat"
"491","matern32",500,100,7,"cat"
"492","complex",500,100,7,"cat"
"493","linear",1000,100,7,"cat"
"494","rbf",1000,100,7,"cat"
"495","matern32",1000,100,7,"cat"
"496","complex",1000,100,7,"cat"
"497","linear",100,200,7,"cat"
"498","rbf",100,200,7,"cat"
"499","matern32",100,200,7,"cat"
"500","complex",100,200,7,"cat"
"501","linear",200,200,7,"cat"
"502","rbf",200,200,7,"cat"
"503","matern32",200,200,7,"cat"
"504","complex",200,200,7,"cat"
"505","linear",500,200,7,"cat"
"506","rbf",500,200,7,"cat"
"507","matern32",500,200,7,"cat"
"508","complex",500,200,7,"cat"
"509","linear",1000,200,7,"cat"
"510","rbf",1000,200,7,"cat"
"511","matern32",1000,200,7,"cat"
"512","complex",1000,200,7,"cat"
"513","linear",100,25,8,"cat"
"514","rbf",100,25,8,"cat"
"515","matern32",100,25,8,"cat"
"516","complex",100,25,8,"cat"
"517","linear",200,25,8,"cat"
"518","rbf",200,25,8,"cat"
"519","matern32",200,25,8,"cat"
"520","complex",200,25,8,"cat"
"521","linear",500,25,8,"cat"
"522","rbf",500,25,8,"cat"
"523","matern32",500,25,8,"cat"
"524","complex",500,25,8,"cat"
"525","linear",1000,25,8,"cat"
"526","rbf",1000,25,8,"cat"
"527","matern32",1000,25,8,"cat"
"528","complex",1000,25,8,"cat"
"529","linear",100,50,8,"cat"
"530","rbf",100,50,8,"cat"
"531","matern32",100,50,8,"cat"
"532","complex",100,50,8,"cat"
"533","linear",200,50,8,"cat"
"534","rbf",200,50,8,"cat"
"535","matern32",200,50,8,"cat"
"536","complex",200,50,8,"cat"
"537","linear",500,50,8,"cat"
"538","rbf",500,50,8,"cat"
"539","matern32",500,50,8,"cat"
"540","complex",500,50,8,"cat"
"541","linear",1000,50,8,"cat"
"542","rbf",1000,50,8,"cat"
"543","matern32",1000,50,8,"cat"
"544","complex",1000,50,8,"cat"
"545","linear",100,100,8,"cat"
"546","rbf",100,100,8,"cat"
"547","matern32",100,100,8,"cat"
"548","complex",100,100,8,"cat"
"549","linear",200,100,8,"cat"
"550","rbf",200,100,8,"cat"
"551","matern32",200,100,8,"cat"
"552","complex",200,100,8,"cat"
"553","linear",500,100,8,"cat"
"554","rbf",500,100,8,"cat"
"555","matern32",500,100,8,"cat"
"556","complex",500,100,8,"cat"
"557","linear",1000,100,8,"cat"
"558","rbf",1000,100,8,"cat"
"559","matern32",1000,100,8,"cat"
"560","complex",1000,100,8,"cat"
"561","linear",100,200,8,"cat"
"562","rbf",100,200,8,"cat"
"563","matern32",100,200,8,"cat"
"564","complex",100,200,8,"cat"
"565","linear",200,200,8,"cat"
"566","rbf",200,200,8,"cat"
"567","matern32",200,200,8,"cat"
"568","complex",200,200,8,"cat"
"569","linear",500,200,8,"cat"
"570","rbf",500,200,8,"cat"
"571","matern32",500,200,8,"cat"
"572","complex",500,200,8,"cat"
"573","linear",1000,200,8,"cat"
"574","rbf",1000,200,8,"cat"
"575","matern32",1000,200,8,"cat"
"576","complex",1000,200,8,"cat"
"577","linear",100,25,9,"cat"
"578","rbf",100,25,9,"cat"
"579","matern32",100,25,9,"cat"
"580","complex",100,25,9,"cat"
"581","linear",200,25,9,"cat"
"582","rbf",200,25,9,"cat"
"583","matern32",200,25,9,"cat"
"584","complex",200,25,9,"cat"
"585","linear",500,25,9,"cat"
"586","rbf",500,25,9,"cat"
"587","matern32",500,25,9,"cat"
"588","complex",500,25,9,"cat"
"589","linear",1000,25,9,"cat"
"590","rbf",1000,25,9,"cat"
"591","matern32",1000,25,9,"cat"
"592","complex",1000,25,9,"cat"
"593","linear",100,50,9,"cat"
"594","rbf",100,50,9,"cat"
"595","matern32",100,50,9,"cat"
"596","complex",100,50,9,"cat"
"597","linear",200,50,9,"cat"
"598","rbf",200,50,9,"cat"
"599","matern32",200,50,9,"cat"
"600","complex",200,50,9,"cat"
"601","linear",500,50,9,"cat"
"602","rbf",500,50,9,"cat"
"603","matern32",500,50,9,"cat"
"604","complex",500,50,9,"cat"
"605","linear",1000,50,9,"cat"
"606","rbf",1000,50,9,"cat"
"607","matern32",1000,50,9,"cat"
"608","complex",1000,50,9,"cat"
"609","linear",100,100,9,"cat"
"610","rbf",100,100,9,"cat"
"611","matern32",100,100,9,"cat"
"612","complex",100,100,9,"cat"
"613","linear",200,100,9,"cat"
"614","rbf",200,100,9,"cat"
"615","matern32",200,100,9,"cat"
"616","complex",200,100,9,"cat"
"617","linear",500,100,9,"cat"
"618","rbf",500,100,9,"cat"
"619","matern32",500,100,9,"cat"
"620","complex",500,100,9,"cat"
"621","linear",1000,100,9,"cat"
"622","rbf",1000,100,9,"cat"
"623","matern32",1000,100,9,"cat"
"624","complex",1000,100,9,"cat"
"625","linear",100,200,9,"cat"
"626","rbf",100,200,9,"cat"
"627","matern32",100,200,9,"cat"
"628","complex",100,200,9,"cat"
"629","linear",200,200,9,"cat"
"630","rbf",200,200,9,"cat"
"631","matern32",200,200,9,"cat"
"632","complex",200,200,9,"cat"
"633","linear",500,200,9,"cat"
"634","rbf",500,200,9,"cat"
"635","matern32",500,200,9,"cat"
"636","complex",500,200,9,"cat"
"637","linear",1000,200,9,"cat"
"638","rbf",1000,200,9,"cat"
"639","matern32",1000,200,9,"cat"
"640","complex",1000,200,9,"cat"
"641","linear",100,25,10,"cat"
"642","rbf",100,25,10,"cat"
"643","matern32",100,25,10,"cat"
"644","complex",100,25,10,"cat"
"645","linear",200,25,10,"cat"
"646","rbf",200,25,10,"cat"
"647","matern32",200,25,10,"cat"
"648","complex",200,25,10,"cat"
"649","linear",500,25,10,"cat"
"650","rbf",500,25,10,"cat"
"651","matern32",500,25,10,"cat"
"652","complex",500,25,10,"cat"
"653","linear",1000,25,10,"cat"
"654","rbf",1000,25,10,"cat"
"655","matern32",1000,25,10,"cat"
"656","complex",1000,25,10,"cat"
"657","linear",100,50,10,"cat"
"658","rbf",100,50,10,"cat"
"659","matern32",100,50,10,"cat"
"660","complex",100,50,10,"cat"
"661","linear",200,50,10,"cat"
"662","rbf",200,50,10,"cat"
"663","matern32",200,50,10,"cat"
"664","complex",200,50,10,"cat"
"665","linear",500,50,10,"cat"
"666","rbf",500,50,10,"cat"
"667","matern32",500,50,10,"cat"
"668","complex",500,50,10,"cat"
"669","linear",1000,50,10,"cat"
"670","rbf",1000,50,10,"cat"
"671","matern32",1000,50,10,"cat"
"672","complex",1000,50,10,"cat"
"673","linear",100,100,10,"cat"
"674","rbf",100,100,10,"cat"
"675","matern32",100,100,10,"cat"
"676","complex",100,100,10,"cat"
"677","linear",200,100,10,"cat"
"678","rbf",200,100,10,"cat"
"679","matern32",200,100,10,"cat"
"680","complex",200,100,10,"cat"
"681","linear",500,100,10,"cat"
"682","rbf",500,100,10,"cat"
"683","matern32",500,100,10,"cat"
"684","complex",500,100,10,"cat"
"685","linear",1000,100,10,"cat"
"686","rbf",1000,100,10,"cat"
"687","matern32",1000,100,10,"cat"
"688","complex",1000,100,10,"cat"
"689","linear",100,200,10,"cat"
"690","rbf",100,200,10,"cat"
"691","matern32",100,200,10,"cat"
"692","complex",100,200,10,"cat"
"693","linear",200,200,10,"cat"
"694","rbf",200,200,10,"cat"
"695","matern32",200,200,10,"cat"
"696","complex",200,200,10,"cat"
"697","linear",500,200,10,"cat"
"698","rbf",500,200,10,"cat"
"699","matern32",500,200,10,"cat"
"700","complex",500,200,10,"cat"
"701","linear",1000,200,10,"cat"
"702","rbf",1000,200,10,"cat"
"703","matern32",1000,200,10,"cat"
"704","complex",1000,200,10,"cat"
"705","linear",100,25,11,"cat"
"706","rbf",100,25,11,"cat"
"707","matern32",100,25,11,"cat"
"708","complex",100,25,11,"cat"
"709","linear",200,25,11,"cat"
"710","rbf",200,25,11,"cat"
"711","matern32",200,25,11,"cat"
"712","complex",200,25,11,"cat"
"713","linear",500,25,11,"cat"
"714","rbf",500,25,11,"cat"
"715","matern32",500,25,11,"cat"
"716","complex",500,25,11,"cat"
"717","linear",1000,25,11,"cat"
"718","rbf",1000,25,11,"cat"
"719","matern32",1000,25,11,"cat"
"720","complex",1000,25,11,"cat"
"721","linear",100,50,11,"cat"
"722","rbf",100,50,11,"cat"
"723","matern32",100,50,11,"cat"
"724","complex",100,50,11,"cat"
"725","linear",200,50,11,"cat"
"726","rbf",200,50,11,"cat"
"727","matern32",200,50,11,"cat"
"728","complex",200,50,11,"cat"
"729","linear",500,50,11,"cat"
"730","rbf",500,50,11,"cat"
"731","matern32",500,50,11,"cat"
"732","complex",500,50,11,"cat"
"733","linear",1000,50,11,"cat"
"734","rbf",1000,50,11,"cat"
"735","matern32",1000,50,11,"cat"
"736","complex",1000,50,11,"cat"
"737","linear",100,100,11,"cat"
"738","rbf",100,100,11,"cat"
"739","matern32",100,100,11,"cat"
"740","complex",100,100,11,"cat"
"741","linear",200,100,11,"cat"
"742","rbf",200,100,11,"cat"
"743","matern32",200,100,11,"cat"
"744","complex",200,100,11,"cat"
"745","linear",500,100,11,"cat"
"746","rbf",500,100,11,"cat"
"747","matern32",500,100,11,"cat"
"748","complex",500,100,11,"cat"
"749","linear",1000,100,11,"cat"
"750","rbf",1000,100,11,"cat"
"751","matern32",1000,100,11,"cat"
"752","complex",1000,100,11,"cat"
"753","linear",100,200,11,"cat"
"754","rbf",100,200,11,"cat"
"755","matern32",100,200,11,"cat"
"756","complex",100,200,11,"cat"
"757","linear",200,200,11,"cat"
"758","rbf",200,200,11,"cat"
"759","matern32",200,200,11,"cat"
"760","complex",200,200,11,"cat"
"761","linear",500,200,11,"cat"
"762","rbf",500,200,11,"cat"
"763","matern32",500,200,11,"cat"
"764","complex",500,200,11,"cat"
"765","linear",1000,200,11,"cat"
"766","rbf",1000,200,11,"cat"
"767","matern32",1000,200,11,"cat"
"768","complex",1000,200,11,"cat"
"769","linear",100,25,12,"cat"
"770","rbf",100,25,12,"cat"
"771","matern32",100,25,12,"cat"
"772","complex",100,25,12,"cat"
"773","linear",200,25,12,"cat"
"774","rbf",200,25,12,"cat"
"775","matern32",200,25,12,"cat"
"776","complex",200,25,12,"cat"
"777","linear",500,25,12,"cat"
"778","rbf",500,25,12,"cat"
"779","matern32",500,25,12,"cat"
"780","complex",500,25,12,"cat"
"781","linear",1000,25,12,"cat"
"782","rbf",1000,25,12,"cat"
"783","matern32",1000,25,12,"cat"
"784","complex",1000,25,12,"cat"
"785","linear",100,50,12,"cat"
