"","--dataset","--n_obs","--dim_in","--rep","--path"
"84","complex",100,100,1,"adult"
"85","linear",200,100,1,"adult"
"86","rbf",200,100,1,"adult"
"87","matern32",200,100,1,"adult"
"88","complex",200,100,1,"adult"
"89","linear",500,100,1,"adult"
"90","rbf",500,100,1,"adult"
"91","matern32",500,100,1,"adult"
"92","complex",500,100,1,"adult"
"93","linear",1000,100,1,"adult"
"94","rbf",1000,100,1,"adult"
"95","matern32",1000,100,1,"adult"
"96","complex",1000,100,1,"adult"
"97","linear",100,25,2,"adult"
"98","rbf",100,25,2,"adult"
"99","matern32",100,25,2,"adult"
"100","complex",100,25,2,"adult"
"101","linear",200,25,2,"adult"
"102","rbf",200,25,2,"adult"
"103","matern32",200,25,2,"adult"
"104","complex",200,25,2,"adult"
"105","linear",500,25,2,"adult"
"106","rbf",500,25,2,"adult"
"107","matern32",500,25,2,"adult"
"108","complex",500,25,2,"adult"
"109","linear",1000,25,2,"adult"
"110","rbf",1000,25,2,"adult"
"111","matern32",1000,25,2,"adult"
"112","complex",1000,25,2,"adult"
"113","linear",100,50,2,"adult"
"114","rbf",100,50,2,"adult"
"115","matern32",100,50,2,"adult"
"116","complex",100,50,2,"adult"
"117","linear",200,50,2,"adult"
"118","rbf",200,50,2,"adult"
"119","matern32",200,50,2,"adult"
"120","complex",200,50,2,"adult"
"121","linear",500,50,2,"adult"
"122","rbf",500,50,2,"adult"
"123","matern32",500,50,2,"adult"
"124","complex",500,50,2,"adult"
"125","linear",1000,50,2,"adult"
"126","rbf",1000,50,2,"adult"
"127","matern32",1000,50,2,"adult"
"128","complex",1000,50,2,"adult"
"129","linear",100,100,2,"adult"
"130","rbf",100,100,2,"adult"
"131","matern32",100,100,2,"adult"
"132","complex",100,100,2,"adult"
"133","linear",200,100,2,"adult"
"134","rbf",200,100,2,"adult"
"135","matern32",200,100,2,"adult"
"136","complex",200,100,2,"adult"
"137","linear",500,100,2,"adult"
"138","rbf",500,100,2,"adult"
"139","matern32",500,100,2,"adult"
"140","complex",500,100,2,"adult"
"141","linear",1000,100,2,"adult"
"142","rbf",1000,100,2,"adult"
"143","matern32",1000,100,2,"adult"
"144","complex",1000,100,2,"adult"
"145","linear",100,25,3,"adult"
"146","rbf",100,25,3,"adult"
"147","matern32",100,25,3,"adult"
"148","complex",100,25,3,"adult"
"149","linear",200,25,3,"adult"
"150","rbf",200,25,3,"adult"
"151","matern32",200,25,3,"adult"
"152","complex",200,25,3,"adult"
"153","linear",500,25,3,"adult"
"154","rbf",500,25,3,"adult"
"155","matern32",500,25,3,"adult"
"156","complex",500,25,3,"adult"
"157","linear",1000,25,3,"adult"
"158","rbf",1000,25,3,"adult"
"159","matern32",1000,25,3,"adult"
"160","complex",1000,25,3,"adult"
"161","linear",100,50,3,"adult"
"162","rbf",100,50,3,"adult"
"163","matern32",100,50,3,"adult"
"164","complex",100,50,3,"adult"
"165","linear",200,50,3,"adult"
"166","rbf",200,50,3,"adult"
"167","matern32",200,50,3,"adult"
"168","complex",200,50,3,"adult"
"169","linear",500,50,3,"adult"
"170","rbf",500,50,3,"adult"
"171","matern32",500,50,3,"adult"
"172","complex",500,50,3,"adult"
"173","linear",1000,50,3,"adult"
"174","rbf",1000,50,3,"adult"
"175","matern32",1000,50,3,"adult"
"176","complex",1000,50,3,"adult"
"177","linear",100,100,3,"adult"
"178","rbf",100,100,3,"adult"
"179","matern32",100,100,3,"adult"
"180","complex",100,100,3,"adult"
"181","linear",200,100,3,"adult"
"182","rbf",200,100,3,"adult"
"183","matern32",200,100,3,"adult"
"184","complex",200,100,3,"adult"
"185","linear",500,100,3,"adult"
"186","rbf",500,100,3,"adult"
"187","matern32",500,100,3,"adult"
"188","complex",500,100,3,"adult"
"189","linear",1000,100,3,"adult"
"190","rbf",1000,100,3,"adult"
"191","matern32",1000,100,3,"adult"
"192","complex",1000,100,3,"adult"
"193","linear",100,25,4,"adult"
"194","rbf",100,25,4,"adult"
"195","matern32",100,25,4,"adult"
"196","complex",100,25,4,"adult"
"197","linear",200,25,4,"adult"
"198","rbf",200,25,4,"adult"
"199","matern32",200,25,4,"adult"
"200","complex",200,25,4,"adult"
"201","linear",500,25,4,"adult"
"202","rbf",500,25,4,"adult"
"203","matern32",500,25,4,"adult"
"204","complex",500,25,4,"adult"
"205","linear",1000,25,4,"adult"
"206","rbf",1000,25,4,"adult"
"207","matern32",1000,25,4,"adult"
"208","complex",1000,25,4,"adult"
"209","linear",100,50,4,"adult"
"210","rbf",100,50,4,"adult"
"211","matern32",100,50,4,"adult"
"212","complex",100,50,4,"adult"
"213","linear",200,50,4,"adult"
"214","rbf",200,50,4,"adult"
"215","matern32",200,50,4,"adult"
"216","complex",200,50,4,"adult"
"217","linear",500,50,4,"adult"
"218","rbf",500,50,4,"adult"
"219","matern32",500,50,4,"adult"
"220","complex",500,50,4,"adult"
"221","linear",1000,50,4,"adult"
"222","rbf",1000,50,4,"adult"
"223","matern32",1000,50,4,"adult"
"224","complex",1000,50,4,"adult"
"225","linear",100,100,4,"adult"
"226","rbf",100,100,4,"adult"
"227","matern32",100,100,4,"adult"
"228","complex",100,100,4,"adult"
"229","linear",200,100,4,"adult"
"230","rbf",200,100,4,"adult"
"231","matern32",200,100,4,"adult"
"232","complex",200,100,4,"adult"
"233","linear",500,100,4,"adult"
"234","rbf",500,100,4,"adult"
"235","matern32",500,100,4,"adult"
"236","complex",500,100,4,"adult"
"237","linear",1000,100,4,"adult"
"238","rbf",1000,100,4,"adult"
"239","matern32",1000,100,4,"adult"
"240","complex",1000,100,4,"adult"
"241","linear",100,25,5,"adult"
"242","rbf",100,25,5,"adult"
"243","matern32",100,25,5,"adult"
"244","complex",100,25,5,"adult"
"245","linear",200,25,5,"adult"
"246","rbf",200,25,5,"adult"
"247","matern32",200,25,5,"adult"
"248","complex",200,25,5,"adult"
"249","linear",500,25,5,"adult"
"250","rbf",500,25,5,"adult"
"251","matern32",500,25,5,"adult"
"252","complex",500,25,5,"adult"
"253","linear",1000,25,5,"adult"
"254","rbf",1000,25,5,"adult"
"255","matern32",1000,25,5,"adult"
"256","complex",1000,25,5,"adult"
"257","linear",100,50,5,"adult"
"258","rbf",100,50,5,"adult"
"259","matern32",100,50,5,"adult"
"260","complex",100,50,5,"adult"
"261","linear",200,50,5,"adult"
"262","rbf",200,50,5,"adult"
"263","matern32",200,50,5,"adult"
"264","complex",200,50,5,"adult"
"265","linear",500,50,5,"adult"
"266","rbf",500,50,5,"adult"
"267","matern32",500,50,5,"adult"
"268","complex",500,50,5,"adult"
"269","linear",1000,50,5,"adult"
"270","rbf",1000,50,5,"adult"
"271","matern32",1000,50,5,"adult"
"272","complex",1000,50,5,"adult"
"273","linear",100,100,5,"adult"
"274","rbf",100,100,5,"adult"
"275","matern32",100,100,5,"adult"
"276","complex",100,100,5,"adult"
"277","linear",200,100,5,"adult"
"278","rbf",200,100,5,"adult"
"279","matern32",200,100,5,"adult"
"280","complex",200,100,5,"adult"
"281","linear",500,100,5,"adult"
"282","rbf",500,100,5,"adult"
"283","matern32",500,100,5,"adult"
"284","complex",500,100,5,"adult"
"285","linear",1000,100,5,"adult"
"286","rbf",1000,100,5,"adult"
"287","matern32",1000,100,5,"adult"
"288","complex",1000,100,5,"adult"
"289","linear",100,25,6,"adult"
"290","rbf",100,25,6,"adult"
"291","matern32",100,25,6,"adult"
"292","complex",100,25,6,"adult"
"293","linear",200,25,6,"adult"
"294","rbf",200,25,6,"adult"
"295","matern32",200,25,6,"adult"
"296","complex",200,25,6,"adult"
"297","linear",500,25,6,"adult"
"298","rbf",500,25,6,"adult"
"299","matern32",500,25,6,"adult"
"300","complex",500,25,6,"adult"
"301","linear",1000,25,6,"adult"
"302","rbf",1000,25,6,"adult"
"303","matern32",1000,25,6,"adult"
"304","complex",1000,25,6,"adult"
"305","linear",100,50,6,"adult"
"306","rbf",100,50,6,"adult"
"307","matern32",100,50,6,"adult"
"308","complex",100,50,6,"adult"
"309","linear",200,50,6,"adult"
"310","rbf",200,50,6,"adult"
"311","matern32",200,50,6,"adult"
"312","complex",200,50,6,"adult"
"313","linear",500,50,6,"adult"
"314","rbf",500,50,6,"adult"
"315","matern32",500,50,6,"adult"
"316","complex",500,50,6,"adult"
"317","linear",1000,50,6,"adult"
"318","rbf",1000,50,6,"adult"
"319","matern32",1000,50,6,"adult"
"320","complex",1000,50,6,"adult"
"321","linear",100,100,6,"adult"
"322","rbf",100,100,6,"adult"
"323","matern32",100,100,6,"adult"
"324","complex",100,100,6,"adult"
"325","linear",200,100,6,"adult"
"326","rbf",200,100,6,"adult"
"327","matern32",200,100,6,"adult"
"328","complex",200,100,6,"adult"
"329","linear",500,100,6,"adult"
"330","rbf",500,100,6,"adult"
"331","matern32",500,100,6,"adult"
"332","complex",500,100,6,"adult"
"333","linear",1000,100,6,"adult"
"334","rbf",1000,100,6,"adult"
"335","matern32",1000,100,6,"adult"
"336","complex",1000,100,6,"adult"
"337","linear",100,25,7,"adult"
"338","rbf",100,25,7,"adult"
"339","matern32",100,25,7,"adult"
"340","complex",100,25,7,"adult"
"341","linear",200,25,7,"adult"
"342","rbf",200,25,7,"adult"
"343","matern32",200,25,7,"adult"
"344","complex",200,25,7,"adult"
"345","linear",500,25,7,"adult"
"346","rbf",500,25,7,"adult"
"347","matern32",500,25,7,"adult"
"348","complex",500,25,7,"adult"
"349","linear",1000,25,7,"adult"
"350","rbf",1000,25,7,"adult"
"351","matern32",1000,25,7,"adult"
"352","complex",1000,25,7,"adult"
"353","linear",100,50,7,"adult"
"354","rbf",100,50,7,"adult"
"355","matern32",100,50,7,"adult"
"356","complex",100,50,7,"adult"
"357","linear",200,50,7,"adult"
"358","rbf",200,50,7,"adult"
"359","matern32",200,50,7,"adult"
"360","complex",200,50,7,"adult"
"361","linear",500,50,7,"adult"
"362","rbf",500,50,7,"adult"
"363","matern32",500,50,7,"adult"
"364","complex",500,50,7,"adult"
"365","linear",1000,50,7,"adult"
"366","rbf",1000,50,7,"adult"
"367","matern32",1000,50,7,"adult"
"368","complex",1000,50,7,"adult"
"369","linear",100,100,7,"adult"
"370","rbf",100,100,7,"adult"
"371","matern32",100,100,7,"adult"
"372","complex",100,100,7,"adult"
"373","linear",200,100,7,"adult"
"374","rbf",200,100,7,"adult"
"375","matern32",200,100,7,"adult"
"376","complex",200,100,7,"adult"
"377","linear",500,100,7,"adult"
"378","rbf",500,100,7,"adult"
"379","matern32",500,100,7,"adult"
"380","complex",500,100,7,"adult"
"381","linear",1000,100,7,"adult"
"382","rbf",1000,100,7,"adult"
"383","matern32",1000,100,7,"adult"
"384","complex",1000,100,7,"adult"
"385","linear",100,25,8,"adult"
"386","rbf",100,25,8,"adult"
"387","matern32",100,25,8,"adult"
"388","complex",100,25,8,"adult"
"389","linear",200,25,8,"adult"
"390","rbf",200,25,8,"adult"
"391","matern32",200,25,8,"adult"
"392","complex",200,25,8,"adult"
"393","linear",500,25,8,"adult"
"394","rbf",500,25,8,"adult"
"395","matern32",500,25,8,"adult"
"396","complex",500,25,8,"adult"
"397","linear",1000,25,8,"adult"
"398","rbf",1000,25,8,"adult"
"399","matern32",1000,25,8,"adult"
"400","complex",1000,25,8,"adult"
"401","linear",100,50,8,"adult"
"402","rbf",100,50,8,"adult"
"403","matern32",100,50,8,"adult"
"404","complex",100,50,8,"adult"
"405","linear",200,50,8,"adult"
"406","rbf",200,50,8,"adult"
"407","matern32",200,50,8,"adult"
"408","complex",200,50,8,"adult"
"409","linear",500,50,8,"adult"
"410","rbf",500,50,8,"adult"
"411","matern32",500,50,8,"adult"
"412","complex",500,50,8,"adult"
"413","linear",1000,50,8,"adult"
"414","rbf",1000,50,8,"adult"
"415","matern32",1000,50,8,"adult"
"416","complex",1000,50,8,"adult"
"417","linear",100,100,8,"adult"
"418","rbf",100,100,8,"adult"
"419","matern32",100,100,8,"adult"
"420","complex",100,100,8,"adult"
"421","linear",200,100,8,"adult"
"422","rbf",200,100,8,"adult"
"423","matern32",200,100,8,"adult"
"424","complex",200,100,8,"adult"
"425","linear",500,100,8,"adult"
"426","rbf",500,100,8,"adult"
"427","matern32",500,100,8,"adult"
"428","complex",500,100,8,"adult"
"429","linear",1000,100,8,"adult"
"430","rbf",1000,100,8,"adult"
"431","matern32",1000,100,8,"adult"
"432","complex",1000,100,8,"adult"
"433","linear",100,25,9,"adult"
"434","rbf",100,25,9,"adult"
"435","matern32",100,25,9,"adult"
"436","complex",100,25,9,"adult"
"437","linear",200,25,9,"adult"
"438","rbf",200,25,9,"adult"
"439","matern32",200,25,9,"adult"
"440","complex",200,25,9,"adult"
"441","linear",500,25,9,"adult"
"442","rbf",500,25,9,"adult"
"443","matern32",500,25,9,"adult"
"444","complex",500,25,9,"adult"
"445","linear",1000,25,9,"adult"
"446","rbf",1000,25,9,"adult"
"447","matern32",1000,25,9,"adult"
"448","complex",1000,25,9,"adult"
"449","linear",100,50,9,"adult"
"450","rbf",100,50,9,"adult"
"451","matern32",100,50,9,"adult"
"452","complex",100,50,9,"adult"
"453","linear",200,50,9,"adult"
"454","rbf",200,50,9,"adult"
"455","matern32",200,50,9,"adult"
"456","complex",200,50,9,"adult"
"457","linear",500,50,9,"adult"
"458","rbf",500,50,9,"adult"
"459","matern32",500,50,9,"adult"
"460","complex",500,50,9,"adult"
"461","linear",1000,50,9,"adult"
"462","rbf",1000,50,9,"adult"
"463","matern32",1000,50,9,"adult"
"464","complex",1000,50,9,"adult"
"465","linear",100,100,9,"adult"
"466","rbf",100,100,9,"adult"
"467","matern32",100,100,9,"adult"
"468","complex",100,100,9,"adult"
"469","linear",200,100,9,"adult"
"470","rbf",200,100,9,"adult"
"471","matern32",200,100,9,"adult"
"472","complex",200,100,9,"adult"
"473","linear",500,100,9,"adult"
"474","rbf",500,100,9,"adult"
"475","matern32",500,100,9,"adult"
"476","complex",500,100,9,"adult"
"477","linear",1000,100,9,"adult"
"478","rbf",1000,100,9,"adult"
"479","matern32",1000,100,9,"adult"
"480","complex",1000,100,9,"adult"
"481","linear",100,25,10,"adult"
"482","rbf",100,25,10,"adult"
"483","matern32",100,25,10,"adult"
"484","complex",100,25,10,"adult"
"485","linear",200,25,10,"adult"
"486","rbf",200,25,10,"adult"
"487","matern32",200,25,10,"adult"
"488","complex",200,25,10,"adult"
"489","linear",500,25,10,"adult"
"490","rbf",500,25,10,"adult"
"491","matern32",500,25,10,"adult"
"492","complex",500,25,10,"adult"
"493","linear",1000,25,10,"adult"
"494","rbf",1000,25,10,"adult"
"495","matern32",1000,25,10,"adult"
"496","complex",1000,25,10,"adult"
"497","linear",100,50,10,"adult"
"498","rbf",100,50,10,"adult"
"499","matern32",100,50,10,"adult"
"500","complex",100,50,10,"adult"
"501","linear",200,50,10,"adult"
"502","rbf",200,50,10,"adult"
"503","matern32",200,50,10,"adult"
"504","complex",200,50,10,"adult"
"505","linear",500,50,10,"adult"
"506","rbf",500,50,10,"adult"
"507","matern32",500,50,10,"adult"
"508","complex",500,50,10,"adult"
"509","linear",1000,50,10,"adult"
"510","rbf",1000,50,10,"adult"
"511","matern32",1000,50,10,"adult"
"512","complex",1000,50,10,"adult"
"513","linear",100,100,10,"adult"
"514","rbf",100,100,10,"adult"
"515","matern32",100,100,10,"adult"
"516","complex",100,100,10,"adult"
"517","linear",200,100,10,"adult"
"518","rbf",200,100,10,"adult"
"519","matern32",200,100,10,"adult"
"520","complex",200,100,10,"adult"
"521","linear",500,100,10,"adult"
"522","rbf",500,100,10,"adult"
"523","matern32",500,100,10,"adult"
"524","complex",500,100,10,"adult"
"525","linear",1000,100,10,"adult"
"526","rbf",1000,100,10,"adult"
"527","matern32",1000,100,10,"adult"
"528","complex",1000,100,10,"adult"
"529","linear",100,25,11,"adult"
"530","rbf",100,25,11,"adult"
"531","matern32",100,25,11,"adult"
"532","complex",100,25,11,"adult"
"533","linear",200,25,11,"adult"
"534","rbf",200,25,11,"adult"
"535","matern32",200,25,11,"adult"
"536","complex",200,25,11,"adult"
"537","linear",500,25,11,"adult"
"538","rbf",500,25,11,"adult"
"539","matern32",500,25,11,"adult"
"540","complex",500,25,11,"adult"
"541","linear",1000,25,11,"adult"
"542","rbf",1000,25,11,"adult"
"543","matern32",1000,25,11,"adult"
"544","complex",1000,25,11,"adult"
"545","linear",100,50,11,"adult"
"546","rbf",100,50,11,"adult"
"547","matern32",100,50,11,"adult"
"548","complex",100,50,11,"adult"
"549","linear",200,50,11,"adult"
"550","rbf",200,50,11,"adult"
"551","matern32",200,50,11,"adult"
"552","complex",200,50,11,"adult"
"553","linear",500,50,11,"adult"
"554","rbf",500,50,11,"adult"
"555","matern32",500,50,11,"adult"
"556","complex",500,50,11,"adult"
"557","linear",1000,50,11,"adult"
"558","rbf",1000,50,11,"adult"
"559","matern32",1000,50,11,"adult"
"560","complex",1000,50,11,"adult"
"561","linear",100,100,11,"adult"
"562","rbf",100,100,11,"adult"
"563","matern32",100,100,11,"adult"
"564","complex",100,100,11,"adult"
"565","linear",200,100,11,"adult"
"566","rbf",200,100,11,"adult"
"567","matern32",200,100,11,"adult"
"568","complex",200,100,11,"adult"
"569","linear",500,100,11,"adult"
"570","rbf",500,100,11,"adult"
"571","matern32",500,100,11,"adult"
"572","complex",500,100,11,"adult"
"573","linear",1000,100,11,"adult"
"574","rbf",1000,100,11,"adult"
"575","matern32",1000,100,11,"adult"
"576","complex",1000,100,11,"adult"
"577","linear",100,25,12,"adult"
"578","rbf",100,25,12,"adult"
"579","matern32",100,25,12,"adult"
"580","complex",100,25,12,"adult"
"581","linear",200,25,12,"adult"
"582","rbf",200,25,12,"adult"
"583","matern32",200,25,12,"adult"
"584","complex",200,25,12,"adult"
"585","linear",500,25,12,"adult"
"586","rbf",500,25,12,"adult"
"587","matern32",500,25,12,"adult"
"588","complex",500,25,12,"adult"
"589","linear",1000,25,12,"adult"
"590","rbf",1000,25,12,"adult"
"591","matern32",1000,25,12,"adult"
"592","complex",1000,25,12,"adult"
"593","linear",100,50,12,"adult"
"594","rbf",100,50,12,"adult"
"595","matern32",100,50,12,"adult"
"596","complex",100,50,12,"adult"
"597","linear",200,50,12,"adult"
"598","rbf",200,50,12,"adult"
"599","matern32",200,50,12,"adult"
"600","complex",200,50,12,"adult"
"601","linear",500,50,12,"adult"
"602","rbf",500,50,12,"adult"
"603","matern32",500,50,12,"adult"
"604","complex",500,50,12,"adult"
"605","linear",1000,50,12,"adult"
"606","rbf",1000,50,12,"adult"
"607","matern32",1000,50,12,"adult"
"608","complex",1000,50,12,"adult"
"609","linear",100,100,12,"adult"
"610","rbf",100,100,12,"adult"
"611","matern32",100,100,12,"adult"
"612","complex",100,100,12,"adult"
"613","linear",200,100,12,"adult"
"614","rbf",200,100,12,"adult"
"615","matern32",200,100,12,"adult"
"616","complex",200,100,12,"adult"
"617","linear",500,100,12,"adult"
"618","rbf",500,100,12,"adult"
"619","matern32",500,100,12,"adult"
"620","complex",500,100,12,"adult"
"621","linear",1000,100,12,"adult"
"622","rbf",1000,100,12,"adult"
"623","matern32",1000,100,12,"adult"
"624","complex",1000,100,12,"adult"
"625","linear",100,25,13,"adult"
"626","rbf",100,25,13,"adult"
"627","matern32",100,25,13,"adult"
"628","complex",100,25,13,"adult"
"629","linear",200,25,13,"adult"
"630","rbf",200,25,13,"adult"
"631","matern32",200,25,13,"adult"
"632","complex",200,25,13,"adult"
"633","linear",500,25,13,"adult"
"634","rbf",500,25,13,"adult"
"635","matern32",500,25,13,"adult"
"636","complex",500,25,13,"adult"
"637","linear",1000,25,13,"adult"
"638","rbf",1000,25,13,"adult"
"639","matern32",1000,25,13,"adult"
"640","complex",1000,25,13,"adult"
"641","linear",100,50,13,"adult"
"642","rbf",100,50,13,"adult"
"643","matern32",100,50,13,"adult"
"644","complex",100,50,13,"adult"
"645","linear",200,50,13,"adult"
"646","rbf",200,50,13,"adult"
"647","matern32",200,50,13,"adult"
"648","complex",200,50,13,"adult"
"649","linear",500,50,13,"adult"
"650","rbf",500,50,13,"adult"
"651","matern32",500,50,13,"adult"
"652","complex",500,50,13,"adult"
"653","linear",1000,50,13,"adult"
"654","rbf",1000,50,13,"adult"
"655","matern32",1000,50,13,"adult"
"656","complex",1000,50,13,"adult"
"657","linear",100,100,13,"adult"
"658","rbf",100,100,13,"adult"
"659","matern32",100,100,13,"adult"
"660","complex",100,100,13,"adult"
"661","linear",200,100,13,"adult"
"662","rbf",200,100,13,"adult"
"663","matern32",200,100,13,"adult"
"664","complex",200,100,13,"adult"
"665","linear",500,100,13,"adult"
"666","rbf",500,100,13,"adult"
"667","matern32",500,100,13,"adult"
"668","complex",500,100,13,"adult"
"669","linear",1000,100,13,"adult"
"670","rbf",1000,100,13,"adult"
"671","matern32",1000,100,13,"adult"
"672","complex",1000,100,13,"adult"
"673","linear",100,25,14,"adult"
"674","rbf",100,25,14,"adult"
"675","matern32",100,25,14,"adult"
"676","complex",100,25,14,"adult"
"677","linear",200,25,14,"adult"
"678","rbf",200,25,14,"adult"
"679","matern32",200,25,14,"adult"
"680","complex",200,25,14,"adult"
"681","linear",500,25,14,"adult"
"682","rbf",500,25,14,"adult"
"683","matern32",500,25,14,"adult"
"684","complex",500,25,14,"adult"
"685","linear",1000,25,14,"adult"
"686","rbf",1000,25,14,"adult"
"687","matern32",1000,25,14,"adult"
"688","complex",1000,25,14,"adult"
"689","linear",100,50,14,"adult"
"690","rbf",100,50,14,"adult"
"691","matern32",100,50,14,"adult"
"692","complex",100,50,14,"adult"
"693","linear",200,50,14,"adult"
"694","rbf",200,50,14,"adult"
"695","matern32",200,50,14,"adult"
"696","complex",200,50,14,"adult"
"697","linear",500,50,14,"adult"
"698","rbf",500,50,14,"adult"
"699","matern32",500,50,14,"adult"
"700","complex",500,50,14,"adult"
"701","linear",1000,50,14,"adult"
"702","rbf",1000,50,14,"adult"
"703","matern32",1000,50,14,"adult"
"704","complex",1000,50,14,"adult"
"705","linear",100,100,14,"adult"
"706","rbf",100,100,14,"adult"
"707","matern32",100,100,14,"adult"
"708","complex",100,100,14,"adult"
"709","linear",200,100,14,"adult"
"710","rbf",200,100,14,"adult"
"711","matern32",200,100,14,"adult"
"712","complex",200,100,14,"adult"
"713","linear",500,100,14,"adult"
"714","rbf",500,100,14,"adult"
"715","matern32",500,100,14,"adult"
"716","complex",500,100,14,"adult"
"717","linear",1000,100,14,"adult"
"718","rbf",1000,100,14,"adult"
"719","matern32",1000,100,14,"adult"
"720","complex",1000,100,14,"adult"
"721","linear",100,25,15,"adult"
"722","rbf",100,25,15,"adult"
"723","matern32",100,25,15,"adult"
"724","complex",100,25,15,"adult"
"725","linear",200,25,15,"adult"
"726","rbf",200,25,15,"adult"
"727","matern32",200,25,15,"adult"
"728","complex",200,25,15,"adult"
"729","linear",500,25,15,"adult"
"730","rbf",500,25,15,"adult"
"731","matern32",500,25,15,"adult"
"732","complex",500,25,15,"adult"
"733","linear",1000,25,15,"adult"
"734","rbf",1000,25,15,"adult"
"735","matern32",1000,25,15,"adult"
"736","complex",1000,25,15,"adult"
"737","linear",100,50,15,"adult"
"738","rbf",100,50,15,"adult"
"739","matern32",100,50,15,"adult"
"740","complex",100,50,15,"adult"
"741","linear",200,50,15,"adult"
"742","rbf",200,50,15,"adult"
"743","matern32",200,50,15,"adult"
"744","complex",200,50,15,"adult"
"745","linear",500,50,15,"adult"
"746","rbf",500,50,15,"adult"
"747","matern32",500,50,15,"adult"
"748","complex",500,50,15,"adult"
"749","linear",1000,50,15,"adult"
"750","rbf",1000,50,15,"adult"
"751","matern32",1000,50,15,"adult"
"752","complex",1000,50,15,"adult"
"753","linear",100,100,15,"adult"
"754","rbf",100,100,15,"adult"
"755","matern32",100,100,15,"adult"
"756","complex",100,100,15,"adult"
"757","linear",200,100,15,"adult"
"758","rbf",200,100,15,"adult"
"759","matern32",200,100,15,"adult"
"760","complex",200,100,15,"adult"
"761","linear",500,100,15,"adult"
"762","rbf",500,100,15,"adult"
"763","matern32",500,100,15,"adult"
"764","complex",500,100,15,"adult"
"765","linear",1000,100,15,"adult"
"766","rbf",1000,100,15,"adult"
"767","matern32",1000,100,15,"adult"
"768","complex",1000,100,15,"adult"
"769","linear",100,25,16,"adult"
"770","rbf",100,25,16,"adult"
"771","matern32",100,25,16,"adult"
"772","complex",100,25,16,"adult"
"773","linear",200,25,16,"adult"
"774","rbf",200,25,16,"adult"
"775","matern32",200,25,16,"adult"
"776","complex",200,25,16,"adult"
"777","linear",500,25,16,"adult"
"778","rbf",500,25,16,"adult"
"779","matern32",500,25,16,"adult"
"780","complex",500,25,16,"adult"
"781","linear",1000,25,16,"adult"
"782","rbf",1000,25,16,"adult"
"783","matern32",1000,25,16,"adult"
"784","complex",1000,25,16,"adult"
"785","linear",100,50,16,"adult"
