"","--dataset","--n_obs","--dim_in","--rep","--path"
"76","complex",500,50,1,"mi"
"77","linear",1000,50,1,"mi"
"78","rbf",1000,50,1,"mi"
"79","matern32",1000,50,1,"mi"
"80","complex",1000,50,1,"mi"
"81","linear",100,100,1,"mi"
"82","rbf",100,100,1,"mi"
"83","matern32",100,100,1,"mi"
"84","complex",100,100,1,"mi"
"85","linear",200,100,1,"mi"
"86","rbf",200,100,1,"mi"
"87","matern32",200,100,1,"mi"
"88","complex",200,100,1,"mi"
"89","linear",500,100,1,"mi"
"90","rbf",500,100,1,"mi"
"91","matern32",500,100,1,"mi"
"92","complex",500,100,1,"mi"
"93","linear",1000,100,1,"mi"
"94","rbf",1000,100,1,"mi"
"95","matern32",1000,100,1,"mi"
"96","complex",1000,100,1,"mi"
"97","linear",100,25,2,"mi"
"98","rbf",100,25,2,"mi"
"99","matern32",100,25,2,"mi"
"100","complex",100,25,2,"mi"
"101","linear",200,25,2,"mi"
"102","rbf",200,25,2,"mi"
"103","matern32",200,25,2,"mi"
"104","complex",200,25,2,"mi"
"105","linear",500,25,2,"mi"
"106","rbf",500,25,2,"mi"
"107","matern32",500,25,2,"mi"
"108","complex",500,25,2,"mi"
"109","linear",1000,25,2,"mi"
"110","rbf",1000,25,2,"mi"
"111","matern32",1000,25,2,"mi"
"112","complex",1000,25,2,"mi"
"113","linear",100,50,2,"mi"
"114","rbf",100,50,2,"mi"
"115","matern32",100,50,2,"mi"
"116","complex",100,50,2,"mi"
"117","linear",200,50,2,"mi"
"118","rbf",200,50,2,"mi"
"119","matern32",200,50,2,"mi"
"120","complex",200,50,2,"mi"
"121","linear",500,50,2,"mi"
"122","rbf",500,50,2,"mi"
"123","matern32",500,50,2,"mi"
"124","complex",500,50,2,"mi"
"125","linear",1000,50,2,"mi"
"126","rbf",1000,50,2,"mi"
"127","matern32",1000,50,2,"mi"
"128","complex",1000,50,2,"mi"
"129","linear",100,100,2,"mi"
"130","rbf",100,100,2,"mi"
"131","matern32",100,100,2,"mi"
"132","complex",100,100,2,"mi"
"133","linear",200,100,2,"mi"
"134","rbf",200,100,2,"mi"
"135","matern32",200,100,2,"mi"
"136","complex",200,100,2,"mi"
"137","linear",500,100,2,"mi"
"138","rbf",500,100,2,"mi"
"139","matern32",500,100,2,"mi"
"140","complex",500,100,2,"mi"
"141","linear",1000,100,2,"mi"
"142","rbf",1000,100,2,"mi"
"143","matern32",1000,100,2,"mi"
"144","complex",1000,100,2,"mi"
"145","linear",100,25,3,"mi"
"146","rbf",100,25,3,"mi"
"147","matern32",100,25,3,"mi"
"148","complex",100,25,3,"mi"
"149","linear",200,25,3,"mi"
"150","rbf",200,25,3,"mi"
"151","matern32",200,25,3,"mi"
"152","complex",200,25,3,"mi"
"153","linear",500,25,3,"mi"
"154","rbf",500,25,3,"mi"
"155","matern32",500,25,3,"mi"
"156","complex",500,25,3,"mi"
"157","linear",1000,25,3,"mi"
"158","rbf",1000,25,3,"mi"
"159","matern32",1000,25,3,"mi"
"160","complex",1000,25,3,"mi"
"161","linear",100,50,3,"mi"
"162","rbf",100,50,3,"mi"
"163","matern32",100,50,3,"mi"
"164","complex",100,50,3,"mi"
"165","linear",200,50,3,"mi"
"166","rbf",200,50,3,"mi"
"167","matern32",200,50,3,"mi"
"168","complex",200,50,3,"mi"
"169","linear",500,50,3,"mi"
"170","rbf",500,50,3,"mi"
"171","matern32",500,50,3,"mi"
"172","complex",500,50,3,"mi"
"173","linear",1000,50,3,"mi"
"174","rbf",1000,50,3,"mi"
"175","matern32",1000,50,3,"mi"
"176","complex",1000,50,3,"mi"
"177","linear",100,100,3,"mi"
"178","rbf",100,100,3,"mi"
"179","matern32",100,100,3,"mi"
"180","complex",100,100,3,"mi"
"181","linear",200,100,3,"mi"
"182","rbf",200,100,3,"mi"
"183","matern32",200,100,3,"mi"
"184","complex",200,100,3,"mi"
"185","linear",500,100,3,"mi"
"186","rbf",500,100,3,"mi"
"187","matern32",500,100,3,"mi"
"188","complex",500,100,3,"mi"
"189","linear",1000,100,3,"mi"
"190","rbf",1000,100,3,"mi"
"191","matern32",1000,100,3,"mi"
"192","complex",1000,100,3,"mi"
"193","linear",100,25,4,"mi"
"194","rbf",100,25,4,"mi"
"195","matern32",100,25,4,"mi"
"196","complex",100,25,4,"mi"
"197","linear",200,25,4,"mi"
"198","rbf",200,25,4,"mi"
"199","matern32",200,25,4,"mi"
"200","complex",200,25,4,"mi"
"201","linear",500,25,4,"mi"
"202","rbf",500,25,4,"mi"
"203","matern32",500,25,4,"mi"
"204","complex",500,25,4,"mi"
"205","linear",1000,25,4,"mi"
"206","rbf",1000,25,4,"mi"
"207","matern32",1000,25,4,"mi"
"208","complex",1000,25,4,"mi"
"209","linear",100,50,4,"mi"
"210","rbf",100,50,4,"mi"
"211","matern32",100,50,4,"mi"
"212","complex",100,50,4,"mi"
"213","linear",200,50,4,"mi"
"214","rbf",200,50,4,"mi"
"215","matern32",200,50,4,"mi"
"216","complex",200,50,4,"mi"
"217","linear",500,50,4,"mi"
"218","rbf",500,50,4,"mi"
"219","matern32",500,50,4,"mi"
"220","complex",500,50,4,"mi"
"221","linear",1000,50,4,"mi"
"222","rbf",1000,50,4,"mi"
"223","matern32",1000,50,4,"mi"
"224","complex",1000,50,4,"mi"
"225","linear",100,100,4,"mi"
"226","rbf",100,100,4,"mi"
"227","matern32",100,100,4,"mi"
"228","complex",100,100,4,"mi"
"229","linear",200,100,4,"mi"
"230","rbf",200,100,4,"mi"
"231","matern32",200,100,4,"mi"
"232","complex",200,100,4,"mi"
"233","linear",500,100,4,"mi"
"234","rbf",500,100,4,"mi"
"235","matern32",500,100,4,"mi"
"236","complex",500,100,4,"mi"
"237","linear",1000,100,4,"mi"
"238","rbf",1000,100,4,"mi"
"239","matern32",1000,100,4,"mi"
"240","complex",1000,100,4,"mi"
"241","linear",100,25,5,"mi"
"242","rbf",100,25,5,"mi"
"243","matern32",100,25,5,"mi"
"244","complex",100,25,5,"mi"
"245","linear",200,25,5,"mi"
"246","rbf",200,25,5,"mi"
"247","matern32",200,25,5,"mi"
"248","complex",200,25,5,"mi"
"249","linear",500,25,5,"mi"
"250","rbf",500,25,5,"mi"
"251","matern32",500,25,5,"mi"
"252","complex",500,25,5,"mi"
"253","linear",1000,25,5,"mi"
"254","rbf",1000,25,5,"mi"
"255","matern32",1000,25,5,"mi"
"256","complex",1000,25,5,"mi"
"257","linear",100,50,5,"mi"
"258","rbf",100,50,5,"mi"
"259","matern32",100,50,5,"mi"
"260","complex",100,50,5,"mi"
"261","linear",200,50,5,"mi"
"262","rbf",200,50,5,"mi"
"263","matern32",200,50,5,"mi"
"264","complex",200,50,5,"mi"
"265","linear",500,50,5,"mi"
"266","rbf",500,50,5,"mi"
"267","matern32",500,50,5,"mi"
"268","complex",500,50,5,"mi"
"269","linear",1000,50,5,"mi"
"270","rbf",1000,50,5,"mi"
"271","matern32",1000,50,5,"mi"
"272","complex",1000,50,5,"mi"
"273","linear",100,100,5,"mi"
"274","rbf",100,100,5,"mi"
"275","matern32",100,100,5,"mi"
"276","complex",100,100,5,"mi"
"277","linear",200,100,5,"mi"
"278","rbf",200,100,5,"mi"
"279","matern32",200,100,5,"mi"
"280","complex",200,100,5,"mi"
"281","linear",500,100,5,"mi"
"282","rbf",500,100,5,"mi"
"283","matern32",500,100,5,"mi"
"284","complex",500,100,5,"mi"
"285","linear",1000,100,5,"mi"
"286","rbf",1000,100,5,"mi"
"287","matern32",1000,100,5,"mi"
"288","complex",1000,100,5,"mi"
"289","linear",100,25,6,"mi"
"290","rbf",100,25,6,"mi"
"291","matern32",100,25,6,"mi"
"292","complex",100,25,6,"mi"
"293","linear",200,25,6,"mi"
"294","rbf",200,25,6,"mi"
"295","matern32",200,25,6,"mi"
"296","complex",200,25,6,"mi"
"297","linear",500,25,6,"mi"
"298","rbf",500,25,6,"mi"
"299","matern32",500,25,6,"mi"
"300","complex",500,25,6,"mi"
"301","linear",1000,25,6,"mi"
"302","rbf",1000,25,6,"mi"
"303","matern32",1000,25,6,"mi"
"304","complex",1000,25,6,"mi"
"305","linear",100,50,6,"mi"
"306","rbf",100,50,6,"mi"
"307","matern32",100,50,6,"mi"
"308","complex",100,50,6,"mi"
"309","linear",200,50,6,"mi"
"310","rbf",200,50,6,"mi"
"311","matern32",200,50,6,"mi"
"312","complex",200,50,6,"mi"
"313","linear",500,50,6,"mi"
"314","rbf",500,50,6,"mi"
"315","matern32",500,50,6,"mi"
"316","complex",500,50,6,"mi"
"317","linear",1000,50,6,"mi"
"318","rbf",1000,50,6,"mi"
"319","matern32",1000,50,6,"mi"
"320","complex",1000,50,6,"mi"
"321","linear",100,100,6,"mi"
"322","rbf",100,100,6,"mi"
"323","matern32",100,100,6,"mi"
"324","complex",100,100,6,"mi"
"325","linear",200,100,6,"mi"
"326","rbf",200,100,6,"mi"
"327","matern32",200,100,6,"mi"
"328","complex",200,100,6,"mi"
"329","linear",500,100,6,"mi"
"330","rbf",500,100,6,"mi"
"331","matern32",500,100,6,"mi"
"332","complex",500,100,6,"mi"
"333","linear",1000,100,6,"mi"
"334","rbf",1000,100,6,"mi"
"335","matern32",1000,100,6,"mi"
"336","complex",1000,100,6,"mi"
"337","linear",100,25,7,"mi"
"338","rbf",100,25,7,"mi"
"339","matern32",100,25,7,"mi"
"340","complex",100,25,7,"mi"
"341","linear",200,25,7,"mi"
"342","rbf",200,25,7,"mi"
"343","matern32",200,25,7,"mi"
"344","complex",200,25,7,"mi"
"345","linear",500,25,7,"mi"
"346","rbf",500,25,7,"mi"
"347","matern32",500,25,7,"mi"
"348","complex",500,25,7,"mi"
"349","linear",1000,25,7,"mi"
"350","rbf",1000,25,7,"mi"
"351","matern32",1000,25,7,"mi"
"352","complex",1000,25,7,"mi"
"353","linear",100,50,7,"mi"
"354","rbf",100,50,7,"mi"
"355","matern32",100,50,7,"mi"
"356","complex",100,50,7,"mi"
"357","linear",200,50,7,"mi"
"358","rbf",200,50,7,"mi"
"359","matern32",200,50,7,"mi"
"360","complex",200,50,7,"mi"
"361","linear",500,50,7,"mi"
"362","rbf",500,50,7,"mi"
"363","matern32",500,50,7,"mi"
"364","complex",500,50,7,"mi"
"365","linear",1000,50,7,"mi"
"366","rbf",1000,50,7,"mi"
"367","matern32",1000,50,7,"mi"
"368","complex",1000,50,7,"mi"
"369","linear",100,100,7,"mi"
"370","rbf",100,100,7,"mi"
"371","matern32",100,100,7,"mi"
"372","complex",100,100,7,"mi"
"373","linear",200,100,7,"mi"
"374","rbf",200,100,7,"mi"
"375","matern32",200,100,7,"mi"
"376","complex",200,100,7,"mi"
"377","linear",500,100,7,"mi"
"378","rbf",500,100,7,"mi"
"379","matern32",500,100,7,"mi"
"380","complex",500,100,7,"mi"
"381","linear",1000,100,7,"mi"
"382","rbf",1000,100,7,"mi"
"383","matern32",1000,100,7,"mi"
"384","complex",1000,100,7,"mi"
"385","linear",100,25,8,"mi"
"386","rbf",100,25,8,"mi"
"387","matern32",100,25,8,"mi"
"388","complex",100,25,8,"mi"
"389","linear",200,25,8,"mi"
"390","rbf",200,25,8,"mi"
"391","matern32",200,25,8,"mi"
"392","complex",200,25,8,"mi"
"393","linear",500,25,8,"mi"
"394","rbf",500,25,8,"mi"
"395","matern32",500,25,8,"mi"
"396","complex",500,25,8,"mi"
"397","linear",1000,25,8,"mi"
"398","rbf",1000,25,8,"mi"
"399","matern32",1000,25,8,"mi"
"400","complex",1000,25,8,"mi"
"401","linear",100,50,8,"mi"
"402","rbf",100,50,8,"mi"
"403","matern32",100,50,8,"mi"
"404","complex",100,50,8,"mi"
"405","linear",200,50,8,"mi"
"406","rbf",200,50,8,"mi"
"407","matern32",200,50,8,"mi"
"408","complex",200,50,8,"mi"
"409","linear",500,50,8,"mi"
"410","rbf",500,50,8,"mi"
"411","matern32",500,50,8,"mi"
"412","complex",500,50,8,"mi"
"413","linear",1000,50,8,"mi"
"414","rbf",1000,50,8,"mi"
"415","matern32",1000,50,8,"mi"
"416","complex",1000,50,8,"mi"
"417","linear",100,100,8,"mi"
"418","rbf",100,100,8,"mi"
"419","matern32",100,100,8,"mi"
"420","complex",100,100,8,"mi"
"421","linear",200,100,8,"mi"
"422","rbf",200,100,8,"mi"
"423","matern32",200,100,8,"mi"
"424","complex",200,100,8,"mi"
"425","linear",500,100,8,"mi"
"426","rbf",500,100,8,"mi"
"427","matern32",500,100,8,"mi"
"428","complex",500,100,8,"mi"
"429","linear",1000,100,8,"mi"
"430","rbf",1000,100,8,"mi"
"431","matern32",1000,100,8,"mi"
"432","complex",1000,100,8,"mi"
"433","linear",100,25,9,"mi"
"434","rbf",100,25,9,"mi"
"435","matern32",100,25,9,"mi"
"436","complex",100,25,9,"mi"
"437","linear",200,25,9,"mi"
"438","rbf",200,25,9,"mi"
"439","matern32",200,25,9,"mi"
"440","complex",200,25,9,"mi"
"441","linear",500,25,9,"mi"
"442","rbf",500,25,9,"mi"
"443","matern32",500,25,9,"mi"
"444","complex",500,25,9,"mi"
"445","linear",1000,25,9,"mi"
"446","rbf",1000,25,9,"mi"
"447","matern32",1000,25,9,"mi"
"448","complex",1000,25,9,"mi"
"449","linear",100,50,9,"mi"
"450","rbf",100,50,9,"mi"
"451","matern32",100,50,9,"mi"
"452","complex",100,50,9,"mi"
"453","linear",200,50,9,"mi"
"454","rbf",200,50,9,"mi"
"455","matern32",200,50,9,"mi"
"456","complex",200,50,9,"mi"
"457","linear",500,50,9,"mi"
"458","rbf",500,50,9,"mi"
"459","matern32",500,50,9,"mi"
"460","complex",500,50,9,"mi"
"461","linear",1000,50,9,"mi"
"462","rbf",1000,50,9,"mi"
"463","matern32",1000,50,9,"mi"
"464","complex",1000,50,9,"mi"
"465","linear",100,100,9,"mi"
"466","rbf",100,100,9,"mi"
"467","matern32",100,100,9,"mi"
"468","complex",100,100,9,"mi"
"469","linear",200,100,9,"mi"
"470","rbf",200,100,9,"mi"
"471","matern32",200,100,9,"mi"
"472","complex",200,100,9,"mi"
"473","linear",500,100,9,"mi"
"474","rbf",500,100,9,"mi"
"475","matern32",500,100,9,"mi"
"476","complex",500,100,9,"mi"
"477","linear",1000,100,9,"mi"
"478","rbf",1000,100,9,"mi"
"479","matern32",1000,100,9,"mi"
"480","complex",1000,100,9,"mi"
"481","linear",100,25,10,"mi"
"482","rbf",100,25,10,"mi"
"483","matern32",100,25,10,"mi"
"484","complex",100,25,10,"mi"
"485","linear",200,25,10,"mi"
"486","rbf",200,25,10,"mi"
"487","matern32",200,25,10,"mi"
"488","complex",200,25,10,"mi"
"489","linear",500,25,10,"mi"
"490","rbf",500,25,10,"mi"
"491","matern32",500,25,10,"mi"
"492","complex",500,25,10,"mi"
"493","linear",1000,25,10,"mi"
"494","rbf",1000,25,10,"mi"
"495","matern32",1000,25,10,"mi"
"496","complex",1000,25,10,"mi"
"497","linear",100,50,10,"mi"
"498","rbf",100,50,10,"mi"
"499","matern32",100,50,10,"mi"
"500","complex",100,50,10,"mi"
"501","linear",200,50,10,"mi"
"502","rbf",200,50,10,"mi"
"503","matern32",200,50,10,"mi"
"504","complex",200,50,10,"mi"
"505","linear",500,50,10,"mi"
"506","rbf",500,50,10,"mi"
"507","matern32",500,50,10,"mi"
"508","complex",500,50,10,"mi"
"509","linear",1000,50,10,"mi"
"510","rbf",1000,50,10,"mi"
"511","matern32",1000,50,10,"mi"
"512","complex",1000,50,10,"mi"
"513","linear",100,100,10,"mi"
"514","rbf",100,100,10,"mi"
"515","matern32",100,100,10,"mi"
"516","complex",100,100,10,"mi"
"517","linear",200,100,10,"mi"
"518","rbf",200,100,10,"mi"
"519","matern32",200,100,10,"mi"
"520","complex",200,100,10,"mi"
"521","linear",500,100,10,"mi"
"522","rbf",500,100,10,"mi"
"523","matern32",500,100,10,"mi"
"524","complex",500,100,10,"mi"
"525","linear",1000,100,10,"mi"
"526","rbf",1000,100,10,"mi"
"527","matern32",1000,100,10,"mi"
"528","complex",1000,100,10,"mi"
"529","linear",100,25,11,"mi"
"530","rbf",100,25,11,"mi"
"531","matern32",100,25,11,"mi"
"532","complex",100,25,11,"mi"
"533","linear",200,25,11,"mi"
"534","rbf",200,25,11,"mi"
"535","matern32",200,25,11,"mi"
"536","complex",200,25,11,"mi"
"537","linear",500,25,11,"mi"
"538","rbf",500,25,11,"mi"
"539","matern32",500,25,11,"mi"
"540","complex",500,25,11,"mi"
"541","linear",1000,25,11,"mi"
"542","rbf",1000,25,11,"mi"
"543","matern32",1000,25,11,"mi"
"544","complex",1000,25,11,"mi"
"545","linear",100,50,11,"mi"
"546","rbf",100,50,11,"mi"
"547","matern32",100,50,11,"mi"
"548","complex",100,50,11,"mi"
"549","linear",200,50,11,"mi"
"550","rbf",200,50,11,"mi"
"551","matern32",200,50,11,"mi"
"552","complex",200,50,11,"mi"
"553","linear",500,50,11,"mi"
"554","rbf",500,50,11,"mi"
"555","matern32",500,50,11,"mi"
"556","complex",500,50,11,"mi"
"557","linear",1000,50,11,"mi"
"558","rbf",1000,50,11,"mi"
"559","matern32",1000,50,11,"mi"
"560","complex",1000,50,11,"mi"
"561","linear",100,100,11,"mi"
"562","rbf",100,100,11,"mi"
"563","matern32",100,100,11,"mi"
"564","complex",100,100,11,"mi"
"565","linear",200,100,11,"mi"
"566","rbf",200,100,11,"mi"
"567","matern32",200,100,11,"mi"
"568","complex",200,100,11,"mi"
"569","linear",500,100,11,"mi"
"570","rbf",500,100,11,"mi"
"571","matern32",500,100,11,"mi"
"572","complex",500,100,11,"mi"
"573","linear",1000,100,11,"mi"
"574","rbf",1000,100,11,"mi"
"575","matern32",1000,100,11,"mi"
"576","complex",1000,100,11,"mi"
"577","linear",100,25,12,"mi"
"578","rbf",100,25,12,"mi"
"579","matern32",100,25,12,"mi"
"580","complex",100,25,12,"mi"
"581","linear",200,25,12,"mi"
"582","rbf",200,25,12,"mi"
"583","matern32",200,25,12,"mi"
"584","complex",200,25,12,"mi"
"585","linear",500,25,12,"mi"
"586","rbf",500,25,12,"mi"
"587","matern32",500,25,12,"mi"
"588","complex",500,25,12,"mi"
"589","linear",1000,25,12,"mi"
"590","rbf",1000,25,12,"mi"
"591","matern32",1000,25,12,"mi"
"592","complex",1000,25,12,"mi"
"593","linear",100,50,12,"mi"
"594","rbf",100,50,12,"mi"
"595","matern32",100,50,12,"mi"
"596","complex",100,50,12,"mi"
"597","linear",200,50,12,"mi"
"598","rbf",200,50,12,"mi"
"599","matern32",200,50,12,"mi"
"600","complex",200,50,12,"mi"
"601","linear",500,50,12,"mi"
"602","rbf",500,50,12,"mi"
"603","matern32",500,50,12,"mi"
"604","complex",500,50,12,"mi"
"605","linear",1000,50,12,"mi"
"606","rbf",1000,50,12,"mi"
"607","matern32",1000,50,12,"mi"
"608","complex",1000,50,12,"mi"
"609","linear",100,100,12,"mi"
"610","rbf",100,100,12,"mi"
"611","matern32",100,100,12,"mi"
"612","complex",100,100,12,"mi"
"613","linear",200,100,12,"mi"
"614","rbf",200,100,12,"mi"
"615","matern32",200,100,12,"mi"
"616","complex",200,100,12,"mi"
"617","linear",500,100,12,"mi"
"618","rbf",500,100,12,"mi"
"619","matern32",500,100,12,"mi"
"620","complex",500,100,12,"mi"
"621","linear",1000,100,12,"mi"
"622","rbf",1000,100,12,"mi"
"623","matern32",1000,100,12,"mi"
"624","complex",1000,100,12,"mi"
"625","linear",100,25,13,"mi"
"626","rbf",100,25,13,"mi"
"627","matern32",100,25,13,"mi"
"628","complex",100,25,13,"mi"
"629","linear",200,25,13,"mi"
"630","rbf",200,25,13,"mi"
"631","matern32",200,25,13,"mi"
"632","complex",200,25,13,"mi"
"633","linear",500,25,13,"mi"
"634","rbf",500,25,13,"mi"
"635","matern32",500,25,13,"mi"
"636","complex",500,25,13,"mi"
"637","linear",1000,25,13,"mi"
"638","rbf",1000,25,13,"mi"
"639","matern32",1000,25,13,"mi"
"640","complex",1000,25,13,"mi"
"641","linear",100,50,13,"mi"
"642","rbf",100,50,13,"mi"
"643","matern32",100,50,13,"mi"
"644","complex",100,50,13,"mi"
"645","linear",200,50,13,"mi"
"646","rbf",200,50,13,"mi"
"647","matern32",200,50,13,"mi"
"648","complex",200,50,13,"mi"
"649","linear",500,50,13,"mi"
"650","rbf",500,50,13,"mi"
"651","matern32",500,50,13,"mi"
"652","complex",500,50,13,"mi"
"653","linear",1000,50,13,"mi"
"654","rbf",1000,50,13,"mi"
"655","matern32",1000,50,13,"mi"
"656","complex",1000,50,13,"mi"
"657","linear",100,100,13,"mi"
"658","rbf",100,100,13,"mi"
"659","matern32",100,100,13,"mi"
"660","complex",100,100,13,"mi"
"661","linear",200,100,13,"mi"
"662","rbf",200,100,13,"mi"
"663","matern32",200,100,13,"mi"
"664","complex",200,100,13,"mi"
"665","linear",500,100,13,"mi"
"666","rbf",500,100,13,"mi"
"667","matern32",500,100,13,"mi"
"668","complex",500,100,13,"mi"
"669","linear",1000,100,13,"mi"
"670","rbf",1000,100,13,"mi"
"671","matern32",1000,100,13,"mi"
"672","complex",1000,100,13,"mi"
"673","linear",100,25,14,"mi"
"674","rbf",100,25,14,"mi"
"675","matern32",100,25,14,"mi"
"676","complex",100,25,14,"mi"
"677","linear",200,25,14,"mi"
"678","rbf",200,25,14,"mi"
"679","matern32",200,25,14,"mi"
"680","complex",200,25,14,"mi"
"681","linear",500,25,14,"mi"
"682","rbf",500,25,14,"mi"
"683","matern32",500,25,14,"mi"
"684","complex",500,25,14,"mi"
"685","linear",1000,25,14,"mi"
"686","rbf",1000,25,14,"mi"
"687","matern32",1000,25,14,"mi"
"688","complex",1000,25,14,"mi"
"689","linear",100,50,14,"mi"
"690","rbf",100,50,14,"mi"
"691","matern32",100,50,14,"mi"
"692","complex",100,50,14,"mi"
"693","linear",200,50,14,"mi"
"694","rbf",200,50,14,"mi"
"695","matern32",200,50,14,"mi"
"696","complex",200,50,14,"mi"
"697","linear",500,50,14,"mi"
"698","rbf",500,50,14,"mi"
"699","matern32",500,50,14,"mi"
"700","complex",500,50,14,"mi"
"701","linear",1000,50,14,"mi"
"702","rbf",1000,50,14,"mi"
"703","matern32",1000,50,14,"mi"
"704","complex",1000,50,14,"mi"
"705","linear",100,100,14,"mi"
"706","rbf",100,100,14,"mi"
"707","matern32",100,100,14,"mi"
"708","complex",100,100,14,"mi"
"709","linear",200,100,14,"mi"
"710","rbf",200,100,14,"mi"
"711","matern32",200,100,14,"mi"
"712","complex",200,100,14,"mi"
"713","linear",500,100,14,"mi"
"714","rbf",500,100,14,"mi"
"715","matern32",500,100,14,"mi"
"716","complex",500,100,14,"mi"
"717","linear",1000,100,14,"mi"
"718","rbf",1000,100,14,"mi"
"719","matern32",1000,100,14,"mi"
"720","complex",1000,100,14,"mi"
"721","linear",100,25,15,"mi"
"722","rbf",100,25,15,"mi"
"723","matern32",100,25,15,"mi"
"724","complex",100,25,15,"mi"
"725","linear",200,25,15,"mi"
"726","rbf",200,25,15,"mi"
"727","matern32",200,25,15,"mi"
"728","complex",200,25,15,"mi"
"729","linear",500,25,15,"mi"
"730","rbf",500,25,15,"mi"
"731","matern32",500,25,15,"mi"
"732","complex",500,25,15,"mi"
"733","linear",1000,25,15,"mi"
"734","rbf",1000,25,15,"mi"
"735","matern32",1000,25,15,"mi"
"736","complex",1000,25,15,"mi"
"737","linear",100,50,15,"mi"
"738","rbf",100,50,15,"mi"
"739","matern32",100,50,15,"mi"
"740","complex",100,50,15,"mi"
"741","linear",200,50,15,"mi"
"742","rbf",200,50,15,"mi"
"743","matern32",200,50,15,"mi"
"744","complex",200,50,15,"mi"
"745","linear",500,50,15,"mi"
"746","rbf",500,50,15,"mi"
"747","matern32",500,50,15,"mi"
"748","complex",500,50,15,"mi"
"749","linear",1000,50,15,"mi"
"750","rbf",1000,50,15,"mi"
"751","matern32",1000,50,15,"mi"
"752","complex",1000,50,15,"mi"
"753","linear",100,100,15,"mi"
"754","rbf",100,100,15,"mi"
"755","matern32",100,100,15,"mi"
"756","complex",100,100,15,"mi"
"757","linear",200,100,15,"mi"
"758","rbf",200,100,15,"mi"
"759","matern32",200,100,15,"mi"
"760","complex",200,100,15,"mi"
"761","linear",500,100,15,"mi"
"762","rbf",500,100,15,"mi"
"763","matern32",500,100,15,"mi"
"764","complex",500,100,15,"mi"
"765","linear",1000,100,15,"mi"
"766","rbf",1000,100,15,"mi"
"767","matern32",1000,100,15,"mi"
"768","complex",1000,100,15,"mi"
"769","linear",100,25,16,"mi"
"770","rbf",100,25,16,"mi"
"771","matern32",100,25,16,"mi"
"772","complex",100,25,16,"mi"
"773","linear",200,25,16,"mi"
"774","rbf",200,25,16,"mi"
"775","matern32",200,25,16,"mi"
"776","complex",200,25,16,"mi"
"777","linear",500,25,16,"mi"
"778","rbf",500,25,16,"mi"
"779","matern32",500,25,16,"mi"
"780","complex",500,25,16,"mi"
"781","linear",1000,25,16,"mi"
"782","rbf",1000,25,16,"mi"
"783","matern32",1000,25,16,"mi"
"784","complex",1000,25,16,"mi"
"785","linear",100,50,16,"mi"
