"name","n","dim","i","data"
"linear",1000,25,5,"cat"
"rbf",1000,25,5,"cat"
"matern32",1000,25,5,"cat"
"complex",1000,25,5,"cat"
"linear",100,50,5,"cat"
"rbf",100,50,5,"cat"
"matern32",100,50,5,"cat"
"complex",100,50,5,"cat"
"linear",200,50,5,"cat"
"rbf",200,50,5,"cat"
"matern32",200,50,5,"cat"
"complex",200,50,5,"cat"
"linear",500,50,5,"cat"
"rbf",500,50,5,"cat"
"matern32",500,50,5,"cat"
"complex",500,50,5,"cat"
"linear",1000,50,5,"cat"
"rbf",1000,50,5,"cat"
"matern32",1000,50,5,"cat"
"complex",1000,50,5,"cat"
"linear",100,100,5,"cat"
"rbf",100,100,5,"cat"
"matern32",100,100,5,"cat"
"complex",100,100,5,"cat"
"linear",200,100,5,"cat"
"rbf",200,100,5,"cat"
"matern32",200,100,5,"cat"
"complex",200,100,5,"cat"
"linear",500,100,5,"cat"
"rbf",500,100,5,"cat"
"matern32",500,100,5,"cat"
"complex",500,100,5,"cat"
"linear",1000,100,5,"cat"
"rbf",1000,100,5,"cat"
"matern32",1000,100,5,"cat"
"complex",1000,100,5,"cat"
"linear",100,25,6,"cat"
"rbf",100,25,6,"cat"
"matern32",100,25,6,"cat"
"complex",100,25,6,"cat"
"linear",200,25,6,"cat"
"rbf",200,25,6,"cat"
"matern32",200,25,6,"cat"
"complex",200,25,6,"cat"
"linear",500,25,6,"cat"
"rbf",500,25,6,"cat"
"matern32",500,25,6,"cat"
"complex",500,25,6,"cat"
"linear",1000,25,6,"cat"
"rbf",1000,25,6,"cat"
"matern32",1000,25,6,"cat"
"complex",1000,25,6,"cat"
"linear",100,50,6,"cat"
"rbf",100,50,6,"cat"
"matern32",100,50,6,"cat"
"complex",100,50,6,"cat"
"linear",200,50,6,"cat"
"rbf",200,50,6,"cat"
"matern32",200,50,6,"cat"
"complex",200,50,6,"cat"
"linear",500,50,6,"cat"
"rbf",500,50,6,"cat"
"matern32",500,50,6,"cat"
"complex",500,50,6,"cat"
"linear",1000,50,6,"cat"
"rbf",1000,50,6,"cat"
"matern32",1000,50,6,"cat"
"complex",1000,50,6,"cat"
"linear",100,100,6,"cat"
"rbf",100,100,6,"cat"
"matern32",100,100,6,"cat"
"complex",100,100,6,"cat"
"linear",200,100,6,"cat"
"rbf",200,100,6,"cat"
"matern32",200,100,6,"cat"
"complex",200,100,6,"cat"
"linear",500,100,6,"cat"
"rbf",500,100,6,"cat"
"matern32",500,100,6,"cat"
"complex",500,100,6,"cat"
"linear",1000,100,6,"cat"
"rbf",1000,100,6,"cat"
"matern32",1000,100,6,"cat"
"complex",1000,100,6,"cat"
"linear",100,25,7,"cat"
"rbf",100,25,7,"cat"
"matern32",100,25,7,"cat"
"complex",100,25,7,"cat"
"linear",200,25,7,"cat"
"rbf",200,25,7,"cat"
"matern32",200,25,7,"cat"
"complex",200,25,7,"cat"
"linear",500,25,7,"cat"
"rbf",500,25,7,"cat"
"matern32",500,25,7,"cat"
"complex",500,25,7,"cat"
"linear",1000,25,7,"cat"
"rbf",1000,25,7,"cat"
"matern32",1000,25,7,"cat"
"complex",1000,25,7,"cat"
"linear",100,50,7,"cat"
"rbf",100,50,7,"cat"
"matern32",100,50,7,"cat"
"complex",100,50,7,"cat"
"linear",200,50,7,"cat"
"rbf",200,50,7,"cat"
"matern32",200,50,7,"cat"
"complex",200,50,7,"cat"
"linear",500,50,7,"cat"
"rbf",500,50,7,"cat"
"matern32",500,50,7,"cat"
"complex",500,50,7,"cat"
"linear",1000,50,7,"cat"
"rbf",1000,50,7,"cat"
"matern32",1000,50,7,"cat"
"complex",1000,50,7,"cat"
"linear",100,100,7,"cat"
"rbf",100,100,7,"cat"
"matern32",100,100,7,"cat"
"complex",100,100,7,"cat"
"linear",200,100,7,"cat"
"rbf",200,100,7,"cat"
"matern32",200,100,7,"cat"
"complex",200,100,7,"cat"
"linear",500,100,7,"cat"
"rbf",500,100,7,"cat"
"matern32",500,100,7,"cat"
"complex",500,100,7,"cat"
"linear",1000,100,7,"cat"
"rbf",1000,100,7,"cat"
"matern32",1000,100,7,"cat"
"complex",1000,100,7,"cat"
"linear",100,25,8,"cat"
"rbf",100,25,8,"cat"
"matern32",100,25,8,"cat"
"complex",100,25,8,"cat"
"linear",200,25,8,"cat"
"rbf",200,25,8,"cat"
"matern32",200,25,8,"cat"
"complex",200,25,8,"cat"
"linear",500,25,8,"cat"
"rbf",500,25,8,"cat"
"matern32",500,25,8,"cat"
"complex",500,25,8,"cat"
"linear",1000,25,8,"cat"
"rbf",1000,25,8,"cat"
"matern32",1000,25,8,"cat"
"complex",1000,25,8,"cat"
"linear",100,50,8,"cat"
"rbf",100,50,8,"cat"
"matern32",100,50,8,"cat"
"complex",100,50,8,"cat"
"linear",200,50,8,"cat"
"rbf",200,50,8,"cat"
"matern32",200,50,8,"cat"
"complex",200,50,8,"cat"
"linear",500,50,8,"cat"
"rbf",500,50,8,"cat"
"matern32",500,50,8,"cat"
"complex",500,50,8,"cat"
"linear",1000,50,8,"cat"
"rbf",1000,50,8,"cat"
"matern32",1000,50,8,"cat"
"complex",1000,50,8,"cat"
"linear",100,100,8,"cat"
"rbf",100,100,8,"cat"
"matern32",100,100,8,"cat"
"complex",100,100,8,"cat"
"linear",200,100,8,"cat"
"rbf",200,100,8,"cat"
"matern32",200,100,8,"cat"
"complex",200,100,8,"cat"
"linear",500,100,8,"cat"
"rbf",500,100,8,"cat"
"matern32",500,100,8,"cat"
"complex",500,100,8,"cat"
"linear",1000,100,8,"cat"
"rbf",1000,100,8,"cat"
"matern32",1000,100,8,"cat"
"complex",1000,100,8,"cat"
"linear",100,25,9,"cat"
"rbf",100,25,9,"cat"
"matern32",100,25,9,"cat"
"complex",100,25,9,"cat"
"linear",200,25,9,"cat"
"rbf",200,25,9,"cat"
"matern32",200,25,9,"cat"
"complex",200,25,9,"cat"
"linear",500,25,9,"cat"
"rbf",500,25,9,"cat"
"matern32",500,25,9,"cat"
"complex",500,25,9,"cat"
"linear",1000,25,9,"cat"
"rbf",1000,25,9,"cat"
"matern32",1000,25,9,"cat"
"complex",1000,25,9,"cat"
"linear",100,50,9,"cat"
"rbf",100,50,9,"cat"
"matern32",100,50,9,"cat"
"complex",100,50,9,"cat"
"linear",200,50,9,"cat"
"rbf",200,50,9,"cat"
"matern32",200,50,9,"cat"
"complex",200,50,9,"cat"
"linear",500,50,9,"cat"
"rbf",500,50,9,"cat"
"matern32",500,50,9,"cat"
"complex",500,50,9,"cat"
"linear",1000,50,9,"cat"
"rbf",1000,50,9,"cat"
"matern32",1000,50,9,"cat"
"complex",1000,50,9,"cat"
"linear",100,100,9,"cat"
"rbf",100,100,9,"cat"
"matern32",100,100,9,"cat"
"complex",100,100,9,"cat"
"linear",200,100,9,"cat"
"rbf",200,100,9,"cat"
"matern32",200,100,9,"cat"
"complex",200,100,9,"cat"
"linear",500,100,9,"cat"
"rbf",500,100,9,"cat"
"matern32",500,100,9,"cat"
"complex",500,100,9,"cat"
"linear",1000,100,9,"cat"
"rbf",1000,100,9,"cat"
"matern32",1000,100,9,"cat"
"complex",1000,100,9,"cat"
"linear",100,25,10,"cat"
"rbf",100,25,10,"cat"
"matern32",100,25,10,"cat"
"complex",100,25,10,"cat"
"linear",200,25,10,"cat"
"rbf",200,25,10,"cat"
"matern32",200,25,10,"cat"
"complex",200,25,10,"cat"
"linear",500,25,10,"cat"
"rbf",500,25,10,"cat"
"matern32",500,25,10,"cat"
"complex",500,25,10,"cat"
"linear",1000,25,10,"cat"
"rbf",1000,25,10,"cat"
"matern32",1000,25,10,"cat"
"complex",1000,25,10,"cat"
"linear",100,50,10,"cat"
"rbf",100,50,10,"cat"
"matern32",100,50,10,"cat"
"complex",100,50,10,"cat"
"linear",200,50,10,"cat"
"rbf",200,50,10,"cat"
"matern32",200,50,10,"cat"
"complex",200,50,10,"cat"
"linear",500,50,10,"cat"
"rbf",500,50,10,"cat"
"matern32",500,50,10,"cat"
"complex",500,50,10,"cat"
"linear",1000,50,10,"cat"
"rbf",1000,50,10,"cat"
"matern32",1000,50,10,"cat"
"complex",1000,50,10,"cat"
"linear",100,100,10,"cat"
"rbf",100,100,10,"cat"
"matern32",100,100,10,"cat"
"complex",100,100,10,"cat"
"linear",200,100,10,"cat"
"rbf",200,100,10,"cat"
"matern32",200,100,10,"cat"
"complex",200,100,10,"cat"
"linear",500,100,10,"cat"
"rbf",500,100,10,"cat"
"matern32",500,100,10,"cat"
"complex",500,100,10,"cat"
"linear",1000,100,10,"cat"
"rbf",1000,100,10,"cat"
"matern32",1000,100,10,"cat"
"complex",1000,100,10,"cat"
"linear",100,25,11,"cat"
"rbf",100,25,11,"cat"
"matern32",100,25,11,"cat"
"complex",100,25,11,"cat"
"linear",200,25,11,"cat"
"rbf",200,25,11,"cat"
"matern32",200,25,11,"cat"
"complex",200,25,11,"cat"
"linear",500,25,11,"cat"
"rbf",500,25,11,"cat"
"matern32",500,25,11,"cat"
"complex",500,25,11,"cat"
"linear",1000,25,11,"cat"
"rbf",1000,25,11,"cat"
"matern32",1000,25,11,"cat"
"complex",1000,25,11,"cat"
"linear",100,50,11,"cat"
"rbf",100,50,11,"cat"
"matern32",100,50,11,"cat"
"complex",100,50,11,"cat"
"linear",200,50,11,"cat"
"rbf",200,50,11,"cat"
"matern32",200,50,11,"cat"
"complex",200,50,11,"cat"
"linear",500,50,11,"cat"
"rbf",500,50,11,"cat"
"matern32",500,50,11,"cat"
"complex",500,50,11,"cat"
"linear",1000,50,11,"cat"
"rbf",1000,50,11,"cat"
"matern32",1000,50,11,"cat"
"complex",1000,50,11,"cat"
"linear",100,100,11,"cat"
"rbf",100,100,11,"cat"
"matern32",100,100,11,"cat"
"complex",100,100,11,"cat"
"linear",200,100,11,"cat"
"rbf",200,100,11,"cat"
"matern32",200,100,11,"cat"
"complex",200,100,11,"cat"
"linear",500,100,11,"cat"
"rbf",500,100,11,"cat"
"matern32",500,100,11,"cat"
"complex",500,100,11,"cat"
"linear",1000,100,11,"cat"
"rbf",1000,100,11,"cat"
"matern32",1000,100,11,"cat"
"complex",1000,100,11,"cat"
"linear",100,25,12,"cat"
"rbf",100,25,12,"cat"
"matern32",100,25,12,"cat"
"complex",100,25,12,"cat"
"linear",200,25,12,"cat"
"rbf",200,25,12,"cat"
"matern32",200,25,12,"cat"
"complex",200,25,12,"cat"
"linear",500,25,12,"cat"
"rbf",500,25,12,"cat"
"matern32",500,25,12,"cat"
"complex",500,25,12,"cat"
"linear",1000,25,12,"cat"
"rbf",1000,25,12,"cat"
"matern32",1000,25,12,"cat"
"complex",1000,25,12,"cat"
"linear",100,50,12,"cat"
"rbf",100,50,12,"cat"
"matern32",100,50,12,"cat"
"complex",100,50,12,"cat"
"linear",200,50,12,"cat"
"rbf",200,50,12,"cat"
"matern32",200,50,12,"cat"
"complex",200,50,12,"cat"
"linear",500,50,12,"cat"
"rbf",500,50,12,"cat"
"matern32",500,50,12,"cat"
"complex",500,50,12,"cat"
"linear",1000,50,12,"cat"
"rbf",1000,50,12,"cat"
"matern32",1000,50,12,"cat"
"complex",1000,50,12,"cat"
"linear",100,100,12,"cat"
"rbf",100,100,12,"cat"
"matern32",100,100,12,"cat"
"complex",100,100,12,"cat"
"linear",200,100,12,"cat"
"rbf",200,100,12,"cat"
"matern32",200,100,12,"cat"
"complex",200,100,12,"cat"
"linear",500,100,12,"cat"
"rbf",500,100,12,"cat"
"matern32",500,100,12,"cat"
"complex",500,100,12,"cat"
"linear",1000,100,12,"cat"
"rbf",1000,100,12,"cat"
"matern32",1000,100,12,"cat"
"complex",1000,100,12,"cat"
"linear",100,25,13,"cat"
"rbf",100,25,13,"cat"
"matern32",100,25,13,"cat"
"complex",100,25,13,"cat"
"linear",200,25,13,"cat"
"rbf",200,25,13,"cat"
"matern32",200,25,13,"cat"
"complex",200,25,13,"cat"
"linear",500,25,13,"cat"
"rbf",500,25,13,"cat"
"matern32",500,25,13,"cat"
"complex",500,25,13,"cat"
"linear",1000,25,13,"cat"
"rbf",1000,25,13,"cat"
"matern32",1000,25,13,"cat"
"complex",1000,25,13,"cat"
"linear",100,50,13,"cat"
"rbf",100,50,13,"cat"
"matern32",100,50,13,"cat"
"complex",100,50,13,"cat"
"linear",200,50,13,"cat"
"rbf",200,50,13,"cat"
"matern32",200,50,13,"cat"
"complex",200,50,13,"cat"
"linear",500,50,13,"cat"
"rbf",500,50,13,"cat"
"matern32",500,50,13,"cat"
"complex",500,50,13,"cat"
"linear",1000,50,13,"cat"
"rbf",1000,50,13,"cat"
"matern32",1000,50,13,"cat"
"complex",1000,50,13,"cat"
"linear",100,100,13,"cat"
"rbf",100,100,13,"cat"
"matern32",100,100,13,"cat"
"complex",100,100,13,"cat"
"linear",200,100,13,"cat"
"rbf",200,100,13,"cat"
"matern32",200,100,13,"cat"
"complex",200,100,13,"cat"
"linear",500,100,13,"cat"
"rbf",500,100,13,"cat"
"matern32",500,100,13,"cat"
"complex",500,100,13,"cat"
"linear",1000,100,13,"cat"
"rbf",1000,100,13,"cat"
"matern32",1000,100,13,"cat"
"complex",1000,100,13,"cat"
"linear",100,25,14,"cat"
"rbf",100,25,14,"cat"
"matern32",100,25,14,"cat"
"complex",100,25,14,"cat"
"linear",200,25,14,"cat"
"rbf",200,25,14,"cat"
"matern32",200,25,14,"cat"
"complex",200,25,14,"cat"
"linear",500,25,14,"cat"
"rbf",500,25,14,"cat"
"matern32",500,25,14,"cat"
"complex",500,25,14,"cat"
"linear",1000,25,14,"cat"
"rbf",1000,25,14,"cat"
"matern32",1000,25,14,"cat"
"complex",1000,25,14,"cat"
"linear",100,50,14,"cat"
"rbf",100,50,14,"cat"
"matern32",100,50,14,"cat"
"complex",100,50,14,"cat"
"linear",200,50,14,"cat"
"rbf",200,50,14,"cat"
"matern32",200,50,14,"cat"
"complex",200,50,14,"cat"
"linear",500,50,14,"cat"
"rbf",500,50,14,"cat"
"matern32",500,50,14,"cat"
"complex",500,50,14,"cat"
"linear",1000,50,14,"cat"
"rbf",1000,50,14,"cat"
"matern32",1000,50,14,"cat"
"complex",1000,50,14,"cat"
"linear",100,100,14,"cat"
"rbf",100,100,14,"cat"
"matern32",100,100,14,"cat"
"complex",100,100,14,"cat"
"linear",200,100,14,"cat"
"rbf",200,100,14,"cat"
"matern32",200,100,14,"cat"
"complex",200,100,14,"cat"
"linear",500,100,14,"cat"
"rbf",500,100,14,"cat"
"matern32",500,100,14,"cat"
"complex",500,100,14,"cat"
"linear",1000,100,14,"cat"
"rbf",1000,100,14,"cat"
"matern32",1000,100,14,"cat"
"complex",1000,100,14,"cat"
"linear",100,25,15,"cat"
"rbf",100,25,15,"cat"
"matern32",100,25,15,"cat"
"complex",100,25,15,"cat"
"linear",200,25,15,"cat"
"rbf",200,25,15,"cat"
"matern32",200,25,15,"cat"
"complex",200,25,15,"cat"
"linear",500,25,15,"cat"
"rbf",500,25,15,"cat"
"matern32",500,25,15,"cat"
"complex",500,25,15,"cat"
"linear",1000,25,15,"cat"
"rbf",1000,25,15,"cat"
"matern32",1000,25,15,"cat"
"complex",1000,25,15,"cat"
"linear",100,50,15,"cat"
"rbf",100,50,15,"cat"
"matern32",100,50,15,"cat"
"complex",100,50,15,"cat"
"linear",200,50,15,"cat"
"rbf",200,50,15,"cat"
"matern32",200,50,15,"cat"
"complex",200,50,15,"cat"
"linear",500,50,15,"cat"
"rbf",500,50,15,"cat"
"matern32",500,50,15,"cat"
"complex",500,50,15,"cat"
"linear",1000,50,15,"cat"
"rbf",1000,50,15,"cat"
"matern32",1000,50,15,"cat"
"complex",1000,50,15,"cat"
"linear",100,100,15,"cat"
"rbf",100,100,15,"cat"
"matern32",100,100,15,"cat"
"complex",100,100,15,"cat"
"linear",200,100,15,"cat"
"rbf",200,100,15,"cat"
"matern32",200,100,15,"cat"
"complex",200,100,15,"cat"
"linear",500,100,15,"cat"
"rbf",500,100,15,"cat"
"matern32",500,100,15,"cat"
"complex",500,100,15,"cat"
"linear",1000,100,15,"cat"
"rbf",1000,100,15,"cat"
"matern32",1000,100,15,"cat"
"complex",1000,100,15,"cat"
"linear",100,25,16,"cat"
"rbf",100,25,16,"cat"
"matern32",100,25,16,"cat"
"complex",100,25,16,"cat"
"linear",200,25,16,"cat"
"rbf",200,25,16,"cat"
"matern32",200,25,16,"cat"
"complex",200,25,16,"cat"
"linear",500,25,16,"cat"
"rbf",500,25,16,"cat"
"matern32",500,25,16,"cat"
"complex",500,25,16,"cat"
"linear",1000,25,16,"cat"
"rbf",1000,25,16,"cat"
"matern32",1000,25,16,"cat"
"complex",1000,25,16,"cat"
"linear",100,50,16,"cat"
"rbf",100,50,16,"cat"
"matern32",100,50,16,"cat"
"complex",100,50,16,"cat"
"linear",200,50,16,"cat"
"rbf",200,50,16,"cat"
"matern32",200,50,16,"cat"
"complex",200,50,16,"cat"
"linear",500,50,16,"cat"
"rbf",500,50,16,"cat"
"matern32",500,50,16,"cat"
"complex",500,50,16,"cat"
"linear",1000,50,16,"cat"
"rbf",1000,50,16,"cat"
"matern32",1000,50,16,"cat"
"complex",1000,50,16,"cat"
"linear",100,100,16,"cat"
"rbf",100,100,16,"cat"
"matern32",100,100,16,"cat"
"complex",100,100,16,"cat"
"linear",200,100,16,"cat"
"rbf",200,100,16,"cat"
"matern32",200,100,16,"cat"
"complex",200,100,16,"cat"
"linear",500,100,16,"cat"
"rbf",500,100,16,"cat"
"matern32",500,100,16,"cat"
"complex",500,100,16,"cat"
"linear",1000,100,16,"cat"
"rbf",1000,100,16,"cat"
"matern32",1000,100,16,"cat"
"complex",1000,100,16,"cat"
"linear",100,25,17,"cat"
"rbf",100,25,17,"cat"
"matern32",100,25,17,"cat"
"complex",100,25,17,"cat"
"linear",200,25,17,"cat"
"rbf",200,25,17,"cat"
"matern32",200,25,17,"cat"
"complex",200,25,17,"cat"
"linear",500,25,17,"cat"
"rbf",500,25,17,"cat"
"matern32",500,25,17,"cat"
"complex",500,25,17,"cat"
"linear",1000,25,17,"cat"
"rbf",1000,25,17,"cat"
"matern32",1000,25,17,"cat"
"complex",1000,25,17,"cat"
"linear",100,50,17,"cat"
"rbf",100,50,17,"cat"
"matern32",100,50,17,"cat"
"complex",100,50,17,"cat"
"linear",200,50,17,"cat"
"rbf",200,50,17,"cat"
"matern32",200,50,17,"cat"
"complex",200,50,17,"cat"
"linear",500,50,17,"cat"
"rbf",500,50,17,"cat"
"matern32",500,50,17,"cat"
"complex",500,50,17,"cat"
"linear",1000,50,17,"cat"
"rbf",1000,50,17,"cat"
"matern32",1000,50,17,"cat"
"complex",1000,50,17,"cat"
"linear",100,100,17,"cat"
"rbf",100,100,17,"cat"
"matern32",100,100,17,"cat"
"complex",100,100,17,"cat"
"linear",200,100,17,"cat"
"rbf",200,100,17,"cat"
"matern32",200,100,17,"cat"
"complex",200,100,17,"cat"
"linear",500,100,17,"cat"
"rbf",500,100,17,"cat"
"matern32",500,100,17,"cat"
"complex",500,100,17,"cat"
"linear",1000,100,17,"cat"
"rbf",1000,100,17,"cat"
"matern32",1000,100,17,"cat"
"complex",1000,100,17,"cat"
"linear",100,25,18,"cat"
"rbf",100,25,18,"cat"
"matern32",100,25,18,"cat"
"complex",100,25,18,"cat"
"linear",200,25,18,"cat"
"rbf",200,25,18,"cat"
"matern32",200,25,18,"cat"
"complex",200,25,18,"cat"
"linear",500,25,18,"cat"
"rbf",500,25,18,"cat"
"matern32",500,25,18,"cat"
"complex",500,25,18,"cat"
"linear",1000,25,18,"cat"
"rbf",1000,25,18,"cat"
"matern32",1000,25,18,"cat"
"complex",1000,25,18,"cat"
"linear",100,50,18,"cat"
"rbf",100,50,18,"cat"
"matern32",100,50,18,"cat"
"complex",100,50,18,"cat"
"linear",200,50,18,"cat"
"rbf",200,50,18,"cat"
"matern32",200,50,18,"cat"
